shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
ASICS Gel-Lyte V Kith Salmon Toe, ASICS, 1201A542-700, 165, 100, 130, 103, 6374feabeae4ab372ce3e546, ASICS Gel-Lyte V, Blue/Salmon, 2021-11-24, To help celebrate the New York retailer's 10th anniversary is the Kith x ASICS Gel Lyte 5 'Salmon Toe.' It was first made available to participants of a Zoom panel that Ronnie Fieg hosted in November 2021. It features a navy and pink color scheme with a pigskin suede upper with a perforated toe box and shite synthetic leather side stripes. 'KXTH' is embossed on the heel overlay with alternating ASICS and Fieg branding on each tongue. A white EVA midsole packs Gel cushioning in the heel.
ASICS Gel-Kayano 21 Awake NY Grey, ASICS, 1201A459-020, 180, 213, 175, 175, 6374feabeae4ab372ce3e547, ASICS Gel-Kayano 21, Grey/White, 2021-12-02, Inspired by the New York streetwear brand's concrete and steel stomping grounds is the Awake NY x ASICS Gel Kayano 21 'Cool Grey.' The lifestyle runner combines a breathable grey mesh construction with reflective silver tiger stripes and off-white suede overlays the latter featuring an Awake logo debossed on the lateral forefoot. It's built on a sculpted FluidRide midsole enhanced with visible ASICS Gel cushioning in the forefoot and heel.
ASICS Gel-Chappal GmbH Black, ASICS, 1201A098-001, 255, 258, 616, 616, 6374feabeae4ab372ce3e54f, ASICS Gel-Chappal, Black/Black, 2020-12-10, ASICS teamed up with the Berlin fashion label to create the GmbH x Gel Chappal 'Black' in December 2020. Built with vegan leather the shoe's slip-on upper appears in black with the lateral collars sporting mismatched GmbH and ASICS branding. The decorative cross-strap design borrowed from the chappal traditional footwear from South India while underfoot the Gel midsole draws from the Gel-Kinsei OG.
ASICS Gel-Lyte III Sean Wotherspoon x atmos, ASICS, 1203A019-000, 165, 198, 165, 165, 6374feabeae4ab372ce3e553, ASICS Gel-Lyte III, Multi, 2020-06-27, A collaborative look Sean Wotherspoon x Atmos x Gel Lyte 3 'Corduroy' gives the nod to both 20 years of atmos and 30 years of the retro runner. The shoe's upper emerges with a vibrant corduroy construction sporting mismatched color blocking with the right shoe drawing from Los Angeles and the left from Tokyo. The Tiger stripes are interchangeable while Gel underfoot provides cushioning.
ASICS Gel-Kayano 26 Vivienne Westwood Black, ASICS, 1021A320-001, 228, 107, 160, 160, 6374feabeae4ab372ce3e554, ASICS Gel-Kayano 26, Black/Black, 2020-09-28, Inspired by Vivienne Westwood's 1983 Buffalo collection the Vivienne Westwood x Gel Kayano 26 'Black' features a progressive look. Built with textile the shoe's upper appears in black overlaid by an open-mesh shroud and bolstered by a toggle lacing system. The heel sports Westwood's Orb Saturn logo while underfoot the midsole combines Flytefoam and Gel in the heel to provide cushioning.
ASICS Gel-1090 A Bathing Ape Tiger Camo, ASICS, 1023A061-200, 140, 226, 149, 149, 6374feabeae4ab372ce3e559, ASICS Gel-1090, Khaki Green/Yellow/Red, 2021-06-26, Made with the help of the Japanese streetwear brand the BAPE x Gel 1090 'Camo' brings camouflage detailing to the 2003 runner. The design emerges on a textile upper overlaid by olive suede at the forefoot and heel and highlighted by orange Tiger stripes on the lateral side. The medial side instead sports BAPE's Tiger Shark motif while underfoot a black EVA midsole with Gel in the heel offers cushioning. A decoupled rubber outsole is included for traction.
ASICS Gel-Kayano 14 White Pure Gold, ASICS, 1201A019-102, 150, 152, 137, 137, 6374feabeae4ab372ce3e55b, ASICS Gel-Kayano 14, White/Pure Gold, 2021-01-12, The Gel Kayano 14 'White Pure Gold' brings elevated accents to its mid-2000s running construction. The first shoe in the Kayano line designed by Hidenori Yamashita this 2021 release includes a white mesh base bolstered by metallic silver synthetic overlays highlighted by Pure Gold at the heel. Black Tiger stripes contrast the side wall while underfoot the EVA midsole includes further Pure Gold on the visible Gel that provides cushioning.
ASICS Gel-Lyte III OG Changing of the Seasons Pack Summer, ASICS, 1201A296-300, 120, 107, 127, 127, 6374feabeae4ab372ce3e55d, ASICS Gel-Lyte III OG, Lichen Rock/Edible Moss, 2021-10-13, The ASICS Gel Lyte 3 OG 'Momijigari Natsu' is part of the two-piece 'Changing of the Seasons Pack' which features a lush color scheme inspired by late summer. Varying shades of green are on the suede upper with leather tiger stripes and microperforated detailing on the toe box and quarter panel. The Japanese word for summer 'Natsu' is embroidered on top of the Gel Lyte 3's signature split tongue. It's built on a compression-molded EVA midsole with a vintage off-white finish and Gel cushioning on the heel.
ASICS Gel-Kayano 27 LTX Vivienne Westwood Citrus, ASICS, 1201A115.800, 240, 124, 75, 75, 6374feabeae4ab372ce3e560, ASICS Gel-Kayano 27 LTX, Citrus/Black, 2021-04-10, ASICS teamed up with the British fashion designer to create the Vivienne Westwood x Gel Kayano 27 LTX 'Citrus' part of a three-shoe collection. Drawing from Vivienne Westwood's latex stockings the shoe's upper features a semitranslucent TPU shroud finished in Citrus and secured by a zip closure which complements the look in red. A heel pull-loop provides easy on and off while underfoot a FLYTEFOAM Propel midsole with visible Gel in the heel provides cushioning.
ASICS Gel-Nandi 360 GmbH Skylight, ASICS, 1021A415-401, 180, 125, 135, 135, 6374feabeae4ab372ce3e563, ASICS Gel-Nandi 360, Skylight/Skylight, 2020-06-27, The GmbH x Gel Nandi 360 'Skylight' released as part of a collaboration with the Berlin fashon label. The shoe's upper is built with mesh bolstered by no-sew synthetic skins and a leather forefoot overlay all finished in teal. Integrated midfoot straps support the lacing system while underfoot full-length Gel provides cushioning while maintaining the monochromatic look.
ASICS Gel-Lyte III White Teal Blue, ASICS, 1191A266-103, 110, 63, 75, 75, 6374feabeae4ab372ce3e564, ASICS Gel-Lyte III, White/Teal Blue, 2020-06-01, Released for the 30th anniversary of the silhouette the Gel Lyte 3 OG 'Blue Aqua' features a retro-style colorway. Built with a mesh base overlaid by leather and suede the upper appears in a mix of white teal and purple. The classic split-tongue construction supports the fit while underfoot the midsole houses Gel for cushioning giving way to a rubber outsole for traction.
ASICS Gel-Lyte I Day-Lyte, ASICS, 1201A433-100, 90, 69, 65, 65, 6374feabeae4ab372ce3e565, ASICS Gel-Lyte I, White/Lemon Spark, 2021-06-11, Drawing from past colorways from the brands' performance running archive the Gel Lyte 1 'Day Lyte Pack' features a vibrant look. Built with a white mesh base the shoe's upper is highlighted by a series of energetic hues throughout with leather on the Tiger stripes and suede on the forefoot and heel. Underfoot a tri-density foam midsole with Gel in the heel provides cushioning giving way to a rubber outsole for traction.
ASICS Gel-Kayano 27 LTX Vivienne Westwood Vapor, ASICS, 1201A115.500, 240, 68, 75, 75, 6374feabeae4ab372ce3e567, ASICS Gel-Kayano 27 LTX, Vapor/Black, , Made in collaboration with the British fashion designer the Vivienne Westwood x Gel Kayano 27 LTX 'Vapor' features inspiration from her latex stockings. Part of a three-shoe collection the shoe's upper emerges with a semitranslucent TPU shroud on the upper with a zip closure securing the fit. The lateral heel includes co-branding including Vivienne Westwood's Orb Saturn logo while underfoot a FLYTEFOAM Propel midsole provides cushioning working with visible Gel in the heel.
ASICS Gel-Kayano 14 White Classic Red, ASICS, 1201A019-103, 160, 248, 199, 199, 6374feabeae4ab372ce3e56c, ASICS Gel-Kayano 14, White/Silver/Classic Red, 2020-12-29, The Gel Kayano 14 'Classic Red' released in December 2020 bringing back the 2008 performance runner. Emerging with a late-2000s aesthetic the shoe features a white mesh base overlaid by silver and highlighted by Classic Red throughout. Underfoot more Classic Red marks the Gel inserts in the midsole giving way to a decoupled rubber outsole for traction.
ASICS Gel-Saga Diamond Supply Co x Ronnie Fieg Aqua Blue Black, ASICS, H50EK-9048, 165, 245, 190, 140, 6374feabeae4ab372ce3e571, ASICS Gel-Saga, Black/Aqua, 2015-06-19, This Ronnie Fieg x Diamond Supply Co. x ASICS Gel Saga 'Tiffany' includes a leather lining silver Diamond Supply-branded aglets black sole and Ronnie Fieg branding on the heel. It was released for the 0th anniversary of Fieg’s first day in the footwear industry. It combines a durable black leather upper with Diamond Supply’s signature Tiffany Box-inspired blue on the pigskin suede toe eyelets tongue and formstripes.
ASICS Gel-Lyte III AFEW x Beams Orange Koi, ASICS, 1191A119-800, 211, 491, 778, 778, 6374feabeae4ab372ce3e576, ASICS Gel-Lyte III, Orange/White, 2018-11-10, Afew and ASICS Tiger teamed up with Japanese sneaker retailer BEAMS on the Gel Lyte 3 ‘Orange Koi.’ This version of the heritage running sneaker features orange suede tones on the toe and heel while additional accents of suede line the Tiger stripes and paneling. BEAMS and Afew lettering appears on the heel while the outsole boasts a camouflage print with a translucent portion that displays the image of a koi. This iteration comes in limited edition box that includes extra laces and a second pair of insoles with different artwork.
ASICS Gel-Lyte III Ronnie Fieg The Palette Dusty Mauve, ASICS, 1201A224-205, 180, 250, 170, 170, 6374feabeae4ab372ce3e579, ASICS Gel-Lyte III, Dusty Mauve/Dusty Mauve, 2020-11-27, Releasing as part of The Palette a 30-shoe collection for the 30th anniversary of the Gel Lyte 3 the Ronnie Fieg x Gel Lyte 3 OG 'The Palette - Dusty Mauve' emerges with a monochromatic look. Built with pigskin suede the shoe's colorway draws from Kith's archives with the toe box and quarter panel sporting perforations for breathability. Underfoot the midsole complements the design housing Gel in the heel for cushioning.
ASICS Gel-Kayano 5 OG Chemist Creations Marshmallow, ASICS, 1021A258-106, 190, 526, 425, 425, 6374feabeae4ab372ce3e57a, ASICS Gel-Kayano 5 OG, Marshmallow/Marshmallow/Feather Grey, 2019-10-20, Made in collaboration with C2H4’s sub label the Chemist Creations x ASICS Gel Kayano 5 'Marshmallow' explores the chemical sublimation process. The retro runner features a subtle off-white finish on an upper built with a blend of leather suede and textile. Unique details include a transparent ‘shield’ over the quarter panel double lacing and heel loops inscribed with ‘Chemist Creations’ in Chinese script.
ASICS Gel-Lyte III Reigning Champ Indian Ink, ASICS, H53GK-5050, 150, 239, 260, 260, 6374feabeae4ab372ce3e57d, ASICS Gel-Lyte III, Indian Ink/Indian Ink, 2016-02-20, The Reigning Champ x Gel Lyte 3 ‘Navy’ dropped as part of a 2016 collaborative pack that also includes grey and black colorways of ASICS’ retro runner. A premium build makes use of a pig skin suede upper with Reigning Champ’s signature midweight terry fleece on the shoe’s split tongue and quarter panel. A speckled navy midsole is supported underfoot by an off-white rubber outsole.
ASICS Gel-Lyte V Bodega Get Wet Vapor Blue, ASICS, H44GK-4880, 170, 330, 180, 180, 6374feabeae4ab372ce3e586, ASICS Gel-Lyte V, Vapor Blue/Olive Grey, 2014-12-13, Boston sneaker boutique Bodega combined with ASICS in 2014 to bring two colorways to the Gel Lyte 5 Get Wet. The Get Wet seen here in Vapor Blue and Olive Gray is a sneaker intended for a variety of operations and climates. The shoe has a waterproof construction consisting of GoreTex nylon and 3 M panels. The release of this cooperation included a scavenger hunt for the sneakers hidden around six towns worldwide. The shoes were published in Bodega shops and online shortly afterwards. The box involves a USB drive that contains collaborative exclusive material.
ASICS Gel-Lyte III mita sneakers 25th Anniv. Trico, ASICS, H50RK-5042, 160, 320, 287, 287, 6374feabeae4ab372ce3e588, ASICS Gel-Lyte III, Navy/Blue-Red-White, 2015-01-24, ASICS joined forces with Japan’s Mita Sneakers to launch a collaborative Gel-Lyte 3 celebrating the silhouette’s 25th anniversary. The retro runner sports a royal blue suede upper with navy blue nubuck on the quarter panel and heel. In addition to contrast white stitching the tonal design is accented with pops of orange on the heel tab pull loop rubber outsole and medial-side tiger stripe.
