shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Brooks Chariot Bait Centennial, Brooks, 110178-1D-846, 120, 148, 54, undefined, 637501761cb69837c65302bb, Brooks Chariot, Navy/Green/Red, 2014-11-22, Released on November 22 2014 to celebrate their fourth store location the BAIT x Brooke Chariot "Centennial" was available at BAIT Seattle on a first come-first served basis. As an extra incentive the first 100 people to purchase the shoes or a BAIT x K-Way jacket would be eligible to receive a free K-Way Klaude Klassic Jacket. Per usual BAIT also released a limited number of Centennial Brooks online through their online raffle system. Those selected were contacted with a private link to purchase the BAIT Centennials. Inspired by the Centennial Anniversary of Brooks the Centennial Chariots featured high-grade leather and pigskin suede on the upper in different hues of deep dark blue bluish-green and red. Cutting through the upper is the oversized Brooks logo in off-white giving it the look of a naturally aged white representative of the aging of the Brooks brand itself. "Brooks" is embossed on the rear heel tab and their signature labeling is present on the Chariot Centennial's tongue. The BAIT Centennials came with two pairs of waxed rope and two sets of waxed flat lace. Retailing at $120 the BAIT x Brooks Chariot "Centennial" was a simply yet sophisticated celebration of both Brooks' 100 anniversary and the beginning of the BAIT-Seattle story.
Brooks Launch 7 Rock N Roll, Brooks, 1103241D913-095-913, 100, 91, undefined, undefined, 637501761cb69837c65302bc, Brooks Launch 7, Black/White, 2020-01-17, 
Brooks Regent Bait Rabbit Foot, Brooks, 110205-1D-978, 130, undefined, 63, undefined, 637501761cb69837c65302bd, Brooks Regent, Rabbit/Steel Grey-Ash-Rose Water, 2015-09-12, 
Vans Slip-On Taka Hayashi x Brooks Tortoise Shell, Vans, VN0A2Y36KCW, 225, undefined, undefined, undefined, 637501761cb69837c65302be, Vans Slip-On, Tortoise Shell/Peyote Bird, 2016-12-03, 
Brooks Regent Bait Inferno, Brooks, 110205-1D-656, undefined, 134, 63, undefined, 637501761cb69837c65302bf, Brooks Regent, Jester Red/Fiery Red/Clear, , 
Brooks Hyperion Elite 2 Grey, Brooks, 1000371D111, 250, 242, 182, undefined, 637501761cb69837c65302c0, Brooks Hyperion Elite 2, White/Silver/Nightlife, , 
Brooks Chariot Concepts Merlot, Brooks, 1101781D464, 115, 80, 85, undefined, 637501761cb69837c65302c1, Brooks Chariot, Royal/Navy/Red, 2014-09-13, 
Brooks Fusion Bait Oyster, Brooks, 110194-1D-967, 160, undefined, undefined, undefined, 637501761cb69837c65302c2, Brooks Fusion, Vegetable/Nature, 2015-06-06, 
Brooks Hyperion Elite 2 Neon, Brooks, 1000371D172, 250, undefined, 182, undefined, 637501761cb69837c65302c3, Brooks Hyperion Elite 2, Nightlife/White/Black, , 
Brooks Transcend 5 Ebony, Brooks, 110276-1D-080, 160, undefined, undefined, undefined, 637501761cb69837c65302c4, Brooks Transcend 5, Ebony/Black-Red, , 
Brooks Ghost 14 Hoppy (W), Brooks, 1203561B027, undefined, 199, 250, undefined, 637501761cb69837c65302c5, Brooks Ghost 14, Black/White/Multi, , 
Brooks Ghost 14 Hoppy, Brooks, 1103691D027, 140, 199, undefined, undefined, 637501761cb69837c65302c6, Brooks Ghost 14, Black/White/Multi, 2022-04-09, 
Vans Sk8-Hi Taka Hayashi x Brooks Tortoise Shell, Vans, VN0A2Y37KCW, 235, 445, 172, 172, 637501761cb69837c65302c7, Vans Sk8-Hi, Tortoise Shell/Peyote Bird, 2016-12-03, 
Brooks Launch 3 Energize Me Black, Brooks, 110215-1D-073, 130, undefined, undefined, undefined, 637501761cb69837c65302c8, Brooks Launch 3 Energize Me, Black/High Risk Red, , 
Brooks Regent Shoe Gallery 84 Fins, Brooks, 110205-1D-431, 130, 150, 105, undefined, 637501761cb69837c65302c9, Brooks Regent, Turquoise/Orange, 2016-05-07, 
Brooks Ghost 10 Navy/Pink-Teal Green (W), Brooks, 120246-1B-451, undefined, undefined, undefined, undefined, 637501761cb69837c65302ca, Brooks Ghost 10, Navy/Pink-Teal Green, , 
Brooks Chariot Hanon Scotch Bonnet, Brooks, 110178-1D-063, 130, undefined, undefined, undefined, 637501761cb69837c65302cb, Brooks Chariot, Grey/Fiery Red-Limestone-Classic Green, 2015-02-07, 
Brooks Ravenna 6 Skydiver/Red Orange-Cyber Yellow, Brooks, 110186-1D-486, undefined, undefined, undefined, undefined, 637501761cb69837c65302cc, Brooks Ravenna 6, Skydiver/Red Orange-Cyber Yellow, , 
Brooks Regent Fairplay Battle of Los Angeles, Brooks, 110205-1D-021, 140, undefined, undefined, undefined, 637501761cb69837c65302cd, Brooks Regent, Black/Silver, 2017-04-15, 
