shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
adidas Yeezy Boost 350 V2 Carbon, adidas, FZ5000, 220, 175, 158, 156, 6374fd9603a96e36ed3d4023, adidas Yeezy Boost 350 V2, Carbon/Carbon/Carbon, 2020-10-02, The Yeezy Boost 350 V2 'Carbon' brings a neutral look to its classic construction. The shoe's upper is built with Primeknit finished in a mix of black and grey woven into the design. A post-dyed monofilament stripe cuts through the side wall while no-tie bungee laces support the fit. Underfoot a rubber cage overlays the full-length Boost midsole which provides cushioning.
adidas Yeezy 350 V2 CMPCT Slate Carbon, adidas, HQ6319, 230, 165, 146, 178, 6374fd9603a96e36ed3d4024, adidas Yeezy 350 V2 CMPCT, Slate Carbon/Slate Carbon/Slate Carbon, 2022-05-28, Delivered in shades of black grey and tan the Yeezy Boost 350 v2 ‘Slate Carbon’ gets an elevated finish with its uniquely patterned Primeknit upper. The slip-on build fastens with no-tie rope laces and a sock-like cuff that ensure freedom of movement alongside low-key support. The sockliner showcases a Yeezy logo while a full-length Boost midsole provides cushioning wrapped in a TPU cage and exposed through cut-outs in the rubber outsole.
Jordan 1 Mid Carbon Fiber, Jordan, DD1649-001, 125, 174, 163, 159, 6374fd9603a96e36ed3d4025, Jordan 1 Mid, Black/White-Black, 2021-02-01, Giving to nod the NBA's midseason exhibition the Air Jordan 1 Mid SE 'All-Star Weekend' emerges with a classic two-tone look. The shoe's upper features a white leather and black patent leather construction with the collar Swoosh and heel all sporting a faux carbon-fiber print. An encircled Jumpman logo marks the tongue while underfoot the Air midsole provides cushioning giving way to a concentric rubber outsole.
Jordan 1 Mid SE All-Star Carbon Fiber (2021) (GS), Jordan, DD2192-001, 100, 198, 198, 139, 6374fd9603a96e36ed3d4026, Jordan 1 Mid SE, Black/White, 2021-03-06, The Air Jordan 1 Mid SE GS 'All-Star 2021' is a grade-school iteration of the shoe. Paying tribute to the NBA's exhibition showcase the shoe emerges with a classic colorway and an elevated construction. Built with a white leather base the upper is contrasted by black patent leather overlays with a faux carbon-fiber print marking the Swoosh heel and collar. Perforations on the tongue tag provide breathability while underfoot Air in the heel of the midsole provides cushioning.
adidas Yeezy Foam RNR MX Carbon, adidas, IG9562, 90, 231, 256, 213, 6374fd9603a96e36ed3d4027, adidas Yeezy Foam RNR, MX Carbon/MX Carbon/MX Carbon, 2022-08-02, Continuing the MX colorways with a blend of swirling colors this 'MX Carbon' iteration of the Yeezy Foam Runner sees the lifestyle silhouette splashed with a mix of black yellow and pink. Crafted with a lightweight EVA foam the one-piece molded upper features a sculpted look with holes for ventilation with a contoured footbed for comfort. The colorful pattern extends to the outsole where a wavy traction pattern offers grip for multiple surfaces.
adidas Ozweego Core Black Carbon Mesh, adidas, EE6999, 110, 59, 65, 65, 6374fd9603a96e36ed3d4029, adidas Ozweego, Core Black/Core Black/Grey, 2019-08-08, The Ozweego 'Black Carbon' brings a blacked-out colorway to its 90s-inspired design. The shoe's upper sports a mesh base overlaid by TPU skin suede and neoprene all finished tonally. A collar tube supports the fit while underfoot the EVA midsole houses Adiprene technology. A black rubber outsole provides traction while compeleting the one-tone design.
adidas Ultra 4D 5.0 Black Carbon, adidas, G58160, 260, 133, 90, 90, 6374fd9603a96e36ed3d402a, adidas Ultra 4D 5.0, Black/Carbon, 2020-12-12, The Ultra 4D 5.0 'Carbon' is a performance runner with a neutral look. The shoe's upper is built with Primeknit sporting a mix of black and grey fibers that create a patterned design. A tonal Three-Stripes lacing cage and external heel counter support the fit while underfoot the 3D-printed midsole with a lattice build created throught a mix of light oxygen and liquid resin provides cushioning.
adidas Yeezy 700 V3 Fade Carbon, adidas, GW1814, 210, 144, 166, 166, 6374fd9603a96e36ed3d402b, adidas Yeezy 700 V3, Fade Carbon/Fade Carbon-Fade Carbon, 2022-05-21, Distinguished by a fade gradient that moves from a mauve hue to a bright magenta at the heel the adidas Yeezy 700 V3 ‘Fade Carbon’ is a lifestyle runner in an eyecatching colorway. A translucent RPU cage overlays the engineered mesh upper. An interior bootie offers a snug comfortable fit while traction and grip are assured from the herringbone-patterned rubber outsole.
adidas Yeezy Knit RNR Stone Carbon, adidas, GY1759, 200, 140, 166, 166, 6374fd9603a96e36ed3d402e, adidas Yeezy Knit RNR, Stone Carbon/Stone Carbon/Stone Carbon, 2022-03-26, Minimal and efficient design has been a hallmark for Kanye West and the adidas Yeezy Knit Runner is no exception. The laceless sneaker in 'Stone Carbon' is constructed from black knit textile with a contrasting hit of brown near the collar. An EVA midsole is concealed within the knit upper while a rubber outsole features a modified herringbone pattern for grip. Little details including dual Yeezy and adidas branding on the sockliner and a tiny size indicator printed on the collar of the shoe near the heel.
adidas Futurecraft 4D Carbon, adidas, Q46228, 250, 103, 109, 109, 6374fd9603a96e36ed3d4035, adidas Futurecraft 4D, Core Black/Carbon/Core Black, 2021-07-07, The Futurecraft 4D 'Black Carbon' is a blacked-out take on the modern performance runner. Built with Primeknit the shoe's upper appears entirely in black with subtle contrast provided by the Carbon Three-Stripes on the side wall. White adidas branding on the tongue tag adds further contrast while underfoot a 3D-printed midsole designed through 17 years of data provides cushioning. A Continental rubber outsole is included for traction.
