shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Hoka One One Anacapa Low Gore-Tex Black, Hoka One One, 1122017-BBLC, 155, 97, 105, undefined, 637501711cb69837c653014c, Hoka One One Anacapa Low Gore-Tex, Black/Black, 2021-07-01, Hoka One One Anacapa Low Gore Tex Black is a low-top model meaning that for most wearers it hits right at the bottom of the ankle.This all-black model features extra cushioning and grip on the sole making it a convenient option for wearers that are particularly active. Whether you’re embarking on a long walk or exercising the Hoka One Anacapa Gore Tex Black will help support your feet. Even on more rugged terrain the tread will help prevent you from slipping. Released in May of 2022 the Hoka One One Anacapa Low Gore Tex Black had an initial starting price of $140.
Hoka One One Anacapa Low Gore-Tex Tiger's Eye Tan, Hoka One One, 1122017-TEBC, 155, 110, undefined, undefined, 637501711cb69837c653014d, Hoka One One Anacapa Low Gore-Tex, Tiger's Eye/Black, 2022-02-01, The Hoka One One Anacapa Low Gore Tex Tigers Eye Tan is designed for hiking.This shoe model is waterproof and has a grippy sole to help prevent wearers from slipping. It is also lightweight in order to make it easier to walk long distances. It is made from a few different types of materials including leather polyester rubber and mesh. The midsoles are compression-molded EVA in order to provide additional cushioning. The Hoka One One Anacapa Low Gore Tex Tigers Eye Tan was initially released in February of 2022. This shoe model had a beginning retail price of $170.
Hoka One One Clifton 8 Eggnog Shifting Sand (W), Hoka One One, 1119394-ESSN, 140, 160, 136, undefined, 637501711cb69837c653014e, Hoka One One Clifton 8, Eggnog/Shifting Sand, 2022-08-13, 
Hoka One One Kaha Gore-Tex Dune Oxford Tan, Hoka One One, 1112030-DOTN, 220, 148, 159, undefined, 637501711cb69837c653014f, Hoka One One Kaha Gore-Tex, Dune/Oxford Tan, 2020-09-04, 
Hoka One One Kaha Low Gore-Tex Black Charcoal Grey, Hoka One One, 1118586-BCCG, 200, 155, 115, undefined, 637501711cb69837c6530150, Hoka One One Kaha Low Gore-Tex, Black/Charcoal Grey, 2021-04-05, 
Hoka One One Tor Ultra Lo Simply Taupe (All Gender), Hoka One One, 1130310-STPST, 220, 252, 260, undefined, 637501711cb69837c6530151, Hoka One One Tor Ultra Lo, Simply Taupe/Pumice Stone, 2022-09-08, 
Hoka One One Kaha Gore-Tex Black Phantom, Hoka One One, 1112030-BPHN, 220, 150, 159, undefined, 637501711cb69837c6530152, Hoka One One Kaha Gore-Tex, Black/Phantom, 2020-09-08, 
Hoka One One Clifton 8 Black, Hoka One One, 1119393-BBLC, 130, 100, 105, undefined, 637501711cb69837c6530153, Hoka One One Clifton 8, Black/Black, 2022-08-03, 
Hoka One One Kaha 2 Low Gore-Tex Black, Hoka One One, 1123190-BBLC, 220, 125, undefined, undefined, 637501711cb69837c6530154, Hoka One One Kaha 2 Low Gore-Tex, Black/Black, , 
Hoka One One Clifton 8 White, Hoka One One, 1119393-WWH, 130, 100, 110, undefined, 637501711cb69837c6530155, Hoka One One Clifton 8, White/White, 2022-03-07, 
Hoka One One Kaha 2 Low Gore-Tex Sharkskin Blue Coral, Hoka One One, 1123190-SBCRL, 220, 110, undefined, undefined, 637501711cb69837c6530156, Hoka One One Kaha 2 Low Gore-Tex, Sharkskin/Blue Coral, , 
Hoka One One Kaha 2 High Gore-Tex Black, Hoka One One, 1123155-BBLC, 240, 130, undefined, undefined, 637501711cb69837c6530157, Hoka One One Kaha 2 High Gore-Tex, Black/Black, , 
Hoka One One Clifton 8 Black White, Hoka One One, 1119393-BWHT, 130, 93, 110, undefined, 637501711cb69837c6530158, Hoka One One Clifton 8, Black/White, 2022-07-04, 
