shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Jordan 1 Retro High OG Chicago Lost and Found, Jordan, DZ5485-612, 180, 286, 248, 248, 6374ff50c30ceb3748b485da, Jordan 1 Retro High OG, Varsity Red/Black-Sail-Muslin, 2022-11-19, The Air Jordan 1 Retro High OG 'Chicago Lost & Found' brings back the famous 'Chicago' colorway with new storytelling elements. Featuring the OG high-cut shape the leather upper features a white base with Varsity Red overlays and a black Swoosh and Wings logo. Cracked black leather on the padded collar gives it a vintage look along with a pre-yellowed midsole. The packaging also tells the 'Lost & Found' story with a damaged-looking box plastered with sale stickers showcasing a different colored lid. A receipt is also included alluding to finding this vintage gem tucked away in an attic or storage space.
Jordan 11 Retro Cherry (2022), Jordan, CT8012-116, 225, 319, 329, 329, 6374ff50c30ceb3748b485db, Jordan 11 Retro, White/Varsity Red/Black, 2022-12-10, A new entry in the lineage of the Air Jordan 11 the 'Cherry' features a clean colorway that utilizes a Chicago Bulls inspired palette. The upper features white mesh with tonal webbing eyelets while a shiny patent leather mudguard wraps around the entire shoe in a deep red hue. A red Jumpman logo appears on the back heel area while a translucent rubber outsole finishes the look. A lightweight Phylon midsole provides cushioning while a carbon fiber spring plate offers structural support underfoot.
Jordan 4 Retro Midnight Navy, Jordan, DH6927-140, 210, 271, 260, 260, 6374ff50c30ceb3748b485dc, Jordan 4 Retro, White/Midnight Navy/Light Smoke Grey-Fire Red, 2022-10-29, The AIr Jordan 4 Retro 'Midnight Navy' heavily borrows from the White/Cement OG colorway including the grey paint splatter midsole and TPU wings. Midnight Navy hits on the lace loops Jumpman logos and the midsole add a sharp contrast against the white leather upper. Other defining AJ4 details remain including a visible Nike Air unit in the heel for cushioning and a modified herringbone traction pattern on the rubber outsole.
Jordan 4 Retro Military Black, Jordan, DH6927-111, 210, 307, 296, 296, 6374ff50c30ceb3748b485dd, Jordan 4 Retro, White/Black-Neutral Grey, 2022-05-21, Featuring the same color blocking and materials used on the OG 'Military Blue' colorway from 1989 is the Air Jordan 4 Retro 'Military Black.' The upper is made with smooth white leather with a forefoot overlay in grey suede. Black accents are on the TPU eyelets molded heel tab and the Jumpman logo on the woven tongue tag. It's built on a two-tone polyurethane midsole with a visible Air-sole unit under the heel.
Jordan 3 Retro Fire Red (2022), Jordan, DN3707-160, 210, 150, 180, 145, 6374ff50c30ceb3748b485de, Jordan 3 Retro, White/Fire Red/Cement Grey/Black, 2022-09-10, The Air Jordan 3 Retro 'Fire Red' sees one of the original colors of the silhouette return true to form. A white leather upper is paired with grey elephant print overlays on the toe and heel while Fire Red accents on the midsole and collor offers a pop of contrast. Designed by Tinker Hatfield the Air Jordan 3 was the first to feature a visible Nike Air unit along with the Jumpman logo. This 2022 edition sees the return of the 'Nike Air' logo on the back heel along with the 'Nike' wordmark on the outsole.
Jordan 7 Retro  Trophy Room New Sheriff in Town, Jordan, DM1195-474, 225, 276, 246, 246, 6374ff50c30ceb3748b485df, Jordan 7 Retro , Obsidian/Dark Obsidian-True Red-Metallic Gold, 2022-11-03, Jordan Brand and Trophy Room collaborate on the AJ7 celebrating the 30th anniversary of the 'Dream Team'. The Air Jordan 7 Retro 'New Sheriff in Town' takes a Team USA inspired color palette featuring a deep red suede base with off white overlays and a navy neoprene tongue. A multi-color heel tab references the Olympic Rings while a Trophy Room logo and #9 on the back heel symbolize the gold medals from the Dream Team championship run. The midsole and outsole feature red white and blue with gold accents similar to the regular AJ7 'Olympic' colorway. Additional details on this Trophy Room edition are MJ's signature etched across the lateral heel area along with 'New Sheriff in Town' on the inside tongue tags - a nod to a quote that MJ said to Magic Johnson and Larry Bird at a team scrimmage. 
Jordan 1 Retro Low OG Zion Williamson Voodoo, Jordan, DZ7292-200, 170, 208, 197, 197, 6374ff50c30ceb3748b485e0, Jordan 1 Retro Low OG, Flax/Muslin-Fauna Brown-Oil Green-Sesame-Moon Fossil, 2022-11-08, Continuing the hoops star's partnership with Jordan Brand the Zion Williamson x Air Jordan 1 Retro Low OG ‘Voodoo’ features a quixotic mix of patchwork exposed stitching reverse Swooshes and upside-down Wings branding. Beige suede quarter paneling and a toe box in brown suede contrast with rough overlays in Fossil Oil Green and pale brown. Voodoo-doll stitching appears on the the lateral heel and concealed beneath both unstitched heel tabs are ‘Voodoo’ and ‘Zion’ images. The upper rides on an off-white midsole with stitching that is different on the right and left and is paired with outsoles in gum rubber.
Jordan 11 Retro Midnight Navy (W), Jordan, AR0715-441, 225, 210, 199, 199, 6374ff50c30ceb3748b485e1, Jordan 11 Retro, Midnight Navy/Metallic Silver/White, 2022-11-11, Tinker Hatfield’s iconic 1995 design is reimagined in the women's Air Jordan 11 ‘Midnight Navy Velvet.’ The upper in deep-navy blue nubuck features an eye-popping matte velvet replacing the trademark patent leather on the mudguard. Tonal webbing eyelets in navy deliver a textural layer. The monochrome upper is interrupted only by a metallic silver Jumpman logo and its white Phylon midsole atop a translucent rubber outsole.
Jordan 1 Mid Light Smoke Grey, Jordan, 554724-092, 115, 159, 130, 124, 6374ff50c30ceb3748b485e2, Jordan 1 Mid, Light Smoke Grey/Black-White, 2020-06-09, The Air Jordan 1 Mid 'Smoke Grey' brings a subdued look to Michael Jordan's first signature shoe. Built with leather the upper sports a white base overlaid by Light Smoke Grey with black on the Swoosh laces and 'Wings' branding. Underfoot the midsole houses the usual Air for cushioning. The concentric outsole provides traction.
Jordan 4 Retro SE Black Canvas, Jordan, DH7138-006, 210, 290, 266, 259, 6374ff50c30ceb3748b485e4, Jordan 4 Retro SE, Black/Light Steel Grey/White/Fire Red, 2022-10-05, The Air Jordan 4 Retro 'Black Canvas' blends a neutral color scheme with unique materials. The upper is crafted predominately black canvas with a subtle suede hit on the toe piece. Traditional AJ4 details return with black TPU molded wings and a visible Nike Air unit in the heel. A subtle red Flight script on the tongue patch adds a burst of constrast set against grey on the Jumpman logo eyelets and midsole.
