shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
New Balance 550 White Grey, New Balance, BB550PB/BB550PB1, 100, 99, undefined, undefined, 6374fd7403a96e36ed3d3515, New Balance 550, White/Grey, 2022-01-14, The New Balance 550 White Grey features a white leather upper with monochromatic perforated leather overlays and puffed New Balance logos. From there a woven New Balance Basketball tongue label and matching sole completes the design.The New Balance 550 White Grey released in June of 2021 and retailed for $100.
New Balance 550 White Green, New Balance, BB550WT1, 120, 168, 142, 138, 6374fd7403a96e36ed3d3517, New Balance 550, White/Green, 2021-06-24, The 550 'White Green' brings a classic two-tone look to its retro construction. The shoe's upper is built with a white leather base overlaid by tonal suede at the toe and supported by microperforations for breathability. The branding including the 'N' logo adds green to the design with both colors coming together on the rubber cupsole underfoot which includes EVA for cushioning.
New Balance 2002R Protection Pack Rain Cloud, New Balance, M2002RDA, 150, 224, 175, 175, 6374fd7403a96e36ed3d3519, New Balance 2002R, Rain Cloud/Grey, 2021-08-20, The 2002R 'Protection Pack - Rain Cloud' released as part of the Protection Pack a three-shoe collection. The shoe's lifestyle running construction emerges with a greyscale design built with a mesh base and overlaid by raw-edged suede designed to look like it's been worn away. The tongue sports exposed foam to further play to the look while underfoot a distressed Abzorb midsole offers cushioning giving way to an N-ergy outsole for traction.
New Balance 550 White Red, New Balance, BB550SE1, 110, 91, 89, 88, 6374fd7403a96e36ed3d351b, New Balance 550, White/Red, 2022-02-15, The 550 'White Red' brings a classic mix of hues to its vintage basketball construction. Built with leather the shoe's upper appears in white black and red with microperforations for breathability. The woven tongue includes a basketball graphic with an 'N' logo standing out on the side wall. Underfoot the rubber outsole which continues the tritone look incorporates flex grooves for traction.
New Balance 550 White Black, New Balance, BB550HA1, 110, 110, 110, 110, 6374fd7403a96e36ed3d351c, New Balance 550, White/Black, 2021-12-01, Updating the vintage '80s hoops shoe with an essential two-tone design is the New Balance 550 'Oreo.' It features layered white leather with black textile construction on the padded collar with a nylon tongue and a TPU heel clip. A raised 'N' is on the quarter panel and a flying NB logo on the heel overlay. The low-top is built on a rubber cupsole with an exposed EVA wedge on the medial sidewall.
New Balance 990v5 Grey, New Balance, M990GL5, 175, 137, 144, 145, 6374fd7403a96e36ed3d3520, New Balance 990v5, Grey, 2019-02-13, The 990v5 Made In USA 'Castlerock' brings a neutral look to its performance running construction. The shoe's upper features a grey mesh base with lightweight suede overlays accented by reflective detailing throughout. An OrthoLite insert is included for comfort working in conjuction with an Encap midsole which contrasts the look in white. A black outsole provides traction.
New Balance 550 UNC White University Blue, New Balance, BB550HL1, 110, 155, 138, 130, 6374fd7403a96e36ed3d3521, New Balance 550, White/Pastel Blue, 2022-01-25, Staying true to the color scheme of the shoe's late '80s roots is the New Balance 550 'Team Carolina Blue.' The low-top has a white leather upper with powder blue throughout a raised 'N' on the quarter panel and a flying NB logo on the back heel. It's built on a rubber cupsole with an exposed EVA wedge on the medial sidewall.
New Balance 550 White Blue, New Balance, BB550SN1, 110, 94, 92, 92, 6374fd7403a96e36ed3d3525, New Balance 550, White/Blue, 2020-12-01, Bringing back the vintage 80s basketball shoe the 550 'White Blue' released in December 2020. Featuring a classic colorway the shoe's upper is built with a white leather base highlighted by blue and contrasted by black. Mesh on the collar and perforations throughout provide breathability while a basketball graphic emerges on the tongue tag. Underfoot all three colors come together on the tooling.
New Balance 2002R Protection Pack Sea Salt, New Balance, M2002RDC, 150, 185, 163, 163, 6374fd7403a96e36ed3d352b, New Balance 2002R, Sea Salt/White, 2021-08-20, Part of the Protection Pack designed by New Balance designer Yue Wu the 2002R 'Protection Pack - Sea Salt' released alongside two other colorways. Built with leather the shoe's upper appears in white with the quarter panel forefoot and heel adding eroded suede to the look. The 2002R branding brings color in red and blue while underfoot a distressed Abzorb midsole provides cushioning.
New Balance 2002R Protection Pack Phantom, New Balance, M2002RDB, 150, 210, 190, 190, 6374fd7403a96e36ed3d352e, New Balance 2002R, Phantom/Dark Grey, 2021-08-20, Part of the three shoe Protection Pack the 2002R 'Protection Pack - Phantom' emerges with a blacked-out look. The shoe's upper is built with mesh overlaid by raw-edged suede all finished in black. The side wall adds tonal 'N' branding on the side wall while the 2002R branding on the quarter panel adds the only contrast in white. Underfoot a distressed Abzorb midsole offers cushioning giving way to a rubber outsole for traction.
