shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Nike Pegasus Trail 3 Gore-Tex Black Dark Smoke Grey, Nike, DC8793-001, 160, 97, 90, 90, 6374fd5403a96e36ed3d20cf, Nike Pegasus Trail 3 Gore-Tex, Black/Dark Smoke Grey/Iron Grey/Black, 2021-09-21, Delivering a sleek colorway of a performance running shoe made for harsher weather is the Nike Pegasus Trail 3 GTX 'Triple Black.' The seamless upper is made from black textile with tonal Gore-Tex branding on the toe box nodding to the waterproof lining of the interior. The midfoot is supported by a dynamic-fit band while a pull tab at the heel allows easy on and off. On the bottom is a matching black Nike React midsole with a durable lugged rubber outsole.
Nike Air Pegasus 83 Khaki, Nike, DJ9292-200, 100, 91, 87, 87, 6374fd5403a96e36ed3d20d1, Nike Air Pegasus 83, Khaki/Dark Driftwood/Light Bone/Off Noir, 2021-10-14, Bringing back the vintage '80s runner in a rustic colorway is the Nike Air Pegasus 83 'Khaki.' A subdued light brown is featured on the upper made with a breathable nylon base and suede overlays at the forefoot and heel. Contrasting black leather accents are on the signature Swoosh and heel tab that's marked with Nike Air branding. On the bottom is a white foam midsole with Nike Air cushioning in the heel with a black waffle-traction rubber outsole.
Nike Air Pegasus 83 Grey Fog, Nike, DJ9292-001, 100, 92, 73, 73, 6374fd5403a96e36ed3d20d2, Nike Air Pegasus 83, Grey Fog/Photon Dust/White/Summit White, 2021-10-14, Highlighting neutral tones on a classic running shoe from Nike's early '80s archives is the Nike Air Pegasus 83 'Grey Fog.' A traditional blend of nylon and suede is utilized on the upper in varying shades of grey with a white leather Swoosh. The leather heel tab and woven tongue tag are decorated with Nike Air branding while underneath is a white foam midsole with encapsulated Nike Air cushioning in the heel and a black waffle-tread rubber outsole.
Nike Air Zoom Pegasus 37 Black White, Nike, BQ9646-002, 120, 68, 60, 60, 6374fd5403a96e36ed3d20d4, Nike Air Zoom Pegasus 37, Black/White, 2020-04-28, The Air Zoom Pegasus 37 'Black White' emerges with a classic two-tone look. The shoe's upper is built with textile finished in black and contrasted by white on the Swoosh branding. Underfoot the midsole provides contrast built with React foam and housing Zoom Air in the forefoot to provide cushioning. The outsole includes waffle pistons for traction.
Nike Pegasus Trail 3 Gore-Tex Black Dark Smoke Grey (W), Nike, DC8794-001, 140, 72, 60, 60, 6374fd5403a96e36ed3d20d5, Nike Pegasus Trail 3 Gore-Tex, Black/Dark Smoke Grey/Iron Grey/Black, 2021-10-14, Showcasing a one-note finish is the Nike women's Pegasus Trail 3 GTX 'Triple Black.' The seamless textile upper is lined in waterproof Gore-Tex and equipped with a gaiter-style collar that keeps trail debris out of the shoe. A Nike React midsole has a dynamic fit band system that adds midfoot support with a bike tire-inspired traction pattern on the lugged rubber outsole.
Nike Air Zoom Pegasus 38 Triple Black, Nike, CW7356-001, 120, 69, 72, 72, 6374fd5403a96e36ed3d20db, Nike Air Zoom Pegasus 38, Black/Anthracite-Volt-Black, 2021-04-29, Adding to the long-running Pegasus line the Air Zoom Pegasus 38 'Black' brings a monochromatic look to its performance running construction. Featuring a new last the shoe's upper is built with engineered mesh with a wider toe box supporting the fit. Internal webbing straps help secure the lacing system while underfoot the tooling borrowed from the Pegasus 37 brings together full-length React and forefoot Zoom Air to provide cushioning.
Nike Air Zoom Pegasus 36 Trail Gyakusou Red, Nike, CD0383-600, 160, 79, 55, 43, 6374fd5403a96e36ed3d20dc, Nike Air Zoom Pegasus 36 Trail, Sport Red/Thunder Blue, 2019-09-26, The Gyakusou x Nike Air Zoom Pegasus 36 Trail 'Red' is drawn from the brands’ Fall 2019 collection inspired by the spirit of the 1970s running revolution. The trail runner features a water-repellent red mesh upper embellished with a rose graphic its delicate petals and sharp thorns symbolizing designer Jun Takahashi’s balance/chaos ethos. The lightweight build rests on a foam midsole with Zoom Air cushioning.
Nike Pegasus Trail 2 Gore-Tex Black, Nike, CU2016-001, 160, 106, 105, 105, 6374fd5403a96e36ed3d20e3, Nike Pegasus Trail 2 Gore-Tex, Black/Black-Black, 2020-11-05, The Pegasus Trail 2 Gore-Tex 'Black Metallic Dark Grey' brings a neutral look to its performance running construction. The shoe's mesh upper appears in black Metallic Dark Grey and Iron Grey with Gore-Tex Invisible Fit technology supporting the build. The tongue and heel branding offer reflective detailing while underfoot a full-length React foam midsole provides cushioning. The rubber outsole incorporates a bike-tire tread for traction.
Nike Pegasus Trail 2 Barely Volt Poison Green, Nike, CK4305-700, 130, 75, 75, 75, 6374fd5403a96e36ed3d20e4, Nike Pegasus Trail 2, Barely Volt/Laser Blue-Poison Green-Black, 2020-06-04, The Pegasus Trail 2 'Barely Volt' sports a vibrant upper and neutral tooling. The shoe's upper is built with mesh supported by a midfoot cage and a faux gaiter piece around the collar. Underfoot a speckled React midsole provides cushioning giving way to a prominent rubber outsole for traction.
Nike Air Zoom Pegasus 37 Shield Black Anthracite, Nike, CQ7935-001, 130, 87, 55, 40, 6374fd5403a96e36ed3d20e6, Nike Air Zoom Pegasus 37 Shield, Black/Anthracite, 2020-11-06, The Air Zoom Pegasus 37 Shield 'Black Anthracite' features a blacked-out colorway on its performance running construction. The shoe's upper features a half-length weatherized shroud treated with a DWR (durable water-repellent) coating finished in black and complemented by hits of Anthracite. Reflective detailing is included for visibility while underfoot the React foam midsole houses Zoom Air in the forefoot for cushioning giving way to a Storm-Tread outsole that draws from winter tires.
