shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Puma LaMelo Ball MB.02 Supernova, Puma, 376442-01, 130, 101, 122, 122, 6374feb3eae4ab372ce3e8ec, Puma LaMelo Ball MB.02, Fiery Coral/Ultra Orange, 2022-10-21, The youngest Ball brother delivers another version of his signature shoe in the PUMA MB.02 ‘Supernova.’ Ball's prowess on the court is celebrated with appearances by his trademark wings logo and his 'RARE' tattoo in bright blue. The rubber outsole is emblazoned with another nod to Ball with the 'RARE' graphic. The bold fiery upper in mesh with no-sew overlays has PUMA's Formstrip on the lateral and a TPU clip at the heel. PUMA’s NITRO foam midsole is built with EVA foam to ensure for smooth landings on the court.
Puma LaMelo Ball MB.01 Rick and Morty, Puma, 376682-01, 135, 385, 360, 350, 6374feb3eae4ab372ce3e8f2, Puma LaMelo Ball MB.01, Red/Green, 2022-02-18, Paying tribute to Lamelo Ball's favorite show on Adult Swim the Rick and Morty x PUMA MB.01 showcases a mismatched design that pairs a neon green finish on the left shoe with a vibrant crimson finish on the right. Rick and Morty branding is featured on the mesh upper on the toe box along with graphics on the lace guard. It's built on a full-length Nitro Foam midsole.
Puma LaMelo Ball MB.01 Not From Here Red Blast, Puma, 377237-02, 125, 244, 200, 200, 6374feb3eae4ab372ce3e8f8, Puma LaMelo Ball MB.01, Red Blast/Fiery Red, 2021-12-16, Designed in collaboration with the basketball star LaMelo Ball is the PUMA MB.01 'Not From Here.' The mid-top features a scarlet mesh upper with 3D-printed rocket-flame detailing that goes down from the collar. 'M.E.L.O' is printed in block lettering on the back heel with 'Not From Here' inscribed across the top of the toe box. It's built on a matching red Nitro Foam midsole with a translucent rubber outsole that reveals the word 'Rare.'
Puma RS-Dreamer J Cole Ebony and Ivory, Puma, 193990-01, 125, 51, 47, 36, 6374feb3eae4ab372ce3e8fd, Puma RS-Dreamer, Puma White/Puma Black, 2020-12-04, J. Cole's signature shoe emerges with a classic mix of hues on the J. Cole x RS-Dreamer 'Ebony and Ivory.' The shoe's upper is built with a white mesh base overlaid throughout by black suede. Tongue and heel pull-loops are included for easy on and off while a dynamic cord lacing system secures the fit. Underfoot a ProFoam midsole with RS foam under the heel offers cushioning giving way to a rubber outsole for traction.
Puma RS-Dreamer J. Cole Black, Puma, 193990-03, 125, 55, 60, 55, 6374feb3eae4ab372ce3e904, Puma RS-Dreamer, Black/Multi, 2020-07-31, The debut colorway of the silhouette the J. Cole x RS-Dreamer 'OG' is a performance basketball shoe. The shoe's upper is built with mesh finished in black and supported by a cord system that runs through the construction. Underfoot the ProFoam midsole provides cushioning with a series of vibrant accents highlighting the tooling.
Puma J Cole RS-Dreamer Proto White, Puma, 193990-02, 125, 65, 55, 55, 6374feb3eae4ab372ce3e90c, Puma J Cole RS-Dreamer Proto, Puma White-Steel Gray, 2021-04-02, Based on the original prototype that started the collaboration between the rapper and PUMA the J. Cole x RS-Dreamer 'Proto' released in April 2021. Built with seamless mesh the shoe's upper appears in white overlaid by grey suede and highlighted by a blue cord lacing system. Tongue and heel pull-loops provide easy on and off while the heel includes J. Cole's Dreamer emblem. Underfoot a ProFoam midsole provides cushioning while accenting the look in pink and yellow with a rubber outsole offering traction.
Puma Future Rider NES, Puma, 380197-01, 90, 92, 67, 67, 6374feb3eae4ab372ce3e90d, Puma Future Rider, Gray Violet/Puma Black, 2020-12-04, The Nintendo x Future Rider 'Retro Console' draws from Nintendo's past for its unique design. Inspired by the NES the shoe's textile upper is overlaid by suede finished in neutral tones and contrasted by black leather on the Formstrip. The woven tongue tag includes a Mario Bros. graphic with the TPU insert designed look like a power button. A controller hang-tag completes the thematic look.
Puma Suede Minecraft, Puma, 386290-01, 100, 60, 60, 60, 6374feb3eae4ab372ce3e90e, Puma Suede, Friar Brown/Fern Green, 2022-02-22, Celebrating the popular sandbox video game is the Minecraft x PUMA Suede 'Grass Block.' Its' lush earth tones are inspired by the game's most common biomes the plains. Pixelated detailing is applied to the brown suede upper and green leather Formstrip which is layered over a second blue Formstrip on the sneaker's lateral side with a creeper graphic on the woven tongue tag and a custom PUMA and Minecraft branding sockliner. It's built on a white rubber cupsole.
Puma RS-Dreamer J Cole Aquarius, Puma, 193990-21, 125, 85, 49, 45, 6374feb3eae4ab372ce3e917, Puma RS-Dreamer, Aquarius/Puma Black, 2021-07-02, The J. Cole x RS-Dreamer 'Aquarius' brings a vibrant colorway to J. Cole's debut signature shoe. Built with mesh the shoe's upper appears in Aquarius bolstered by black synthetic suede overlays. Tongue and heel pull-loops provide easy on and off and a dynamic cord lacing system supports the fit with the heel counter adding the rapper's Dreamer emblem. Underfoot a ProFoam midsole provides traction.
Puma RS-Dreamer J Cole Red, Puma, 193990-16, 125, 75, 55, 55, 6374feb3eae4ab372ce3e918, Puma RS-Dreamer, Energy Red/Puma Black, 2021-05-28, Emerging with a classic contrasting look the J. Cole x RS-Dreamer 'Energy Red Black' is a performance shoe. Built with knit textile the shoe's upper appears in Energy Red contrasted by black throughout including on the suede overlays and dynamic cord lacing system. Tongue and heel pull-loops provide easy on and off with J. Cole's Dreamer emblem marking the synthetic heel overlay. Underfoot a black ProFoam midsole with RS foam in the heel offers cushioning giving way to a high-abrasion rubber outsole for traction.
Puma Suede Rhuigi Villasenor, Puma, 382155-01, 85, 115, 118, 118, 6374feb3eae4ab372ce3e919, Puma Suede, Whisper White/Juniper, 2021-06-12, The Rhuigi x Suede 'White Juniper' released as part of a collaboration with the Rhude founder and creative director. Inspired by skate culture in Los Angeles the shoe's upper is built with a tan suede base overlaid by green suede on the Formstrip and accented by faux snakeskin detailing on the heel patch. The woven tongue tag and sockliner include Rhugi Villaseñor's signature while underfoot a yellow rubber cupsole with a grid-like traction pattern anchors the build.
Puma Dreamer 2 J Cole Yellow, Puma, 194849-02, 135, 66, 58, 58, 6374feb3eae4ab372ce3e91a, Puma Dreamer 2, Yellow/Black, 2021-01-28, The debut colorway of the rapper's second signature shoe the J. Cole x RS-Dreamer 2 'Janurary 28th' gets its name from a track off his album 2014 Forest Hills Drive. The shoe's upper is built with textile finished in Spectra Yellow and bolstered by tonal leather and suede overlays. Black contrasts the forefoot tongue inner lining and heel while a dynamic lacing system secures the fit. The heel counter includes 'Dreamer' while underfoot a ProFoam midsole provides cushioning.
Puma Suede TMC Grey, Puma, 381801-01, 80, 59, 45, 45, 6374feb3eae4ab372ce3e91d, Puma Suede, Grey/Grey/White, 2021-05-07, Paying tribute to the legacy of late rapper Nipsey Hussle the TMC x Suede 'Hussle Way' brings a subdued colorway to its classic construction. Built entirely with suede the shoe's upper appears in Charcoal Grey accented by metallic gold on the branding including The Marathon Clothing callout on the heel patch. The tongue tag and sockliner add a hybrid TMC flag with PUMA's jumping cat while underfoot a white rubber cupsole supports the fit.
Puma Future Rider Super Mario 64, Puma, 380196-01, 90, 100, 69, 69, 6374feb3eae4ab372ce3e91e, Puma Future Rider, Puma White/Energy Turquoise, 2020-11-27, Puma teamed up with Nintendo to create the Nintendo x Future Rider 'Super Mario 64' part of a larger collection. The shoe's upper is built with a white mesh base overlaid by off-white suede. The heel includes a debossed wings graphic that pay tribute to Mario's Wing Cap while blue on the leather Formstrip calls out the game's sky. A Mario hang-tag plays to theme as does the TPU heel insert with a brick pattern. Underfoot red white and green combine on the tooling to complete the look.
Puma Clyde Court City Pack Brooklyn Nets, Puma, 191712-11, 120, 96, 89, 89, 6374feb3eae4ab372ce3e922, Puma Clyde Court, Puma White/Puma Black, 2019-06-20, Paying tribute to the Brooklyn Nets the Clyde Court 'City Pack - Brooklyn' features a team colorway. Released for the 2019 NBA Draft the shoe includes a knit upper with a bootie construction supported by a tonal heel counter. A black Formstrip completes the team look while underfoot the midsole combines NRGY beads with IGNITE foam for cushioning.
Puma Clyde All-Pro Coast 2 Coast Celtics, Puma, 195124-01, 130, 147, 150, 150, 6374feb3eae4ab372ce3e924, Puma Clyde All-Pro, White/Power Green, 2021-04-15, The Clyde All-Pro 'Coast 2 Coast - Celtics' released alongside a Los Angeles Lakers colorway to celebrate the iconic rivalry. Paying tribute to the Boston Celtics the shoe's Matryx knit upper sports a white base highlighted by green throughout and contrasted by black on the leather Formstrip. Underfoot an off-white ProFoam+ midsole provides cushioning giving way to a rubber outsole that incorporates a Pebax drop in the heel.
Puma Thunder Spectra Black, Puma, 367516-01, 120, 57, 41, 41, 6374feb3eae4ab372ce3e925, Puma Thunder Spectra, Puma Black/Puma Black/Puma White, 2018-04-28, Arriving in April 2018 Puma’s chunky mixed-material Thunder Spectra debuted in this colorway: a black base with red yellow and teal details. Completing the look are a black Puma side stripe and cat logo on the tongue. It sold out immediately and was restocked in May 2018.
Puma Suede Haribo Poppy Red, Puma, 382563-01, 80, 70, 40, 40, 6374feb3eae4ab372ce3e929, Puma Suede, Poppy Red/Poppy Red, 2021-07-02, PUMA tapped the German candy brand to create the Haribo x Suede 'Poppy Red' part of a larger collection. Built with suede the shoe's upper appears in Poppy Red with the heel sporting 'Haribo' branding. The tongue tag and sockliner instead add co-branding to the design while a gel insert on the heel patch and a molded hang-tag include a signature Goldbear gummy matched by the graphic print on the translucent rubber outsole.
Puma Cell King RHUDE, Puma, 371389-01, 150, 88, 52, 52, 6374feb3eae4ab372ce3e92b, Puma Cell King, Puma Black/Oatmeal, 2020-09-05, The Rhude x Cell King 'Black Oatmeal' released as part of a collaboration with the Los Angeles streetwear brand. The shoe's hybrid construction is built with a quilted black leather upper supported by a foldover tongue with debossed Rhude branding. The heels sport Puma and Rhude branding while underfoot the EVA midsole works with Cell in the heel and midfoot for cushioning.
Puma RS-X3 Nipsey Hussle The Marathon Continues 10th Anniversary Black, Puma, 386515-01, 150, 176, 79, 79, 6374feb3eae4ab372ce3e92d, Puma RS-X3, Puma Black-High Risk Red, 2021-12-17, Celebrating the 2011 release of Nipsey Hussle's classic mixtape 'The Marathon Continues' is the TMC x PUMA RS-X3 '10th Anniversary.' The layered upper features a black finish a mix of textile leather and suede. A crimson suede toe is matched by the sneaker's branding elements including 'The Marathon tongue tags Nipsey's TMC flag logo on the heel overlay and an 'IHUSSLE' tag on the lateral side. It's built on a solid black polyurethane midsole with angular TPU pieces.
Puma Clyde Super Mario Sunshine, Puma, 380199-01, 80, 110, 40, 40, 6374feb3eae4ab372ce3e92f, Puma Clyde, Whisper White/Angel Blue, 2020-11-27, The Nintendo x Clyde 'Super Mario Sunshine' released to celebrate 35 years of Mario. Celebrating Super Mario Sunshine the shoe features inspiration from Isle Delfino with the off-white nubuck highlighted by a blue Formstrip modeled after the F.L.U.D.D. The game's released year 2002 appears inside the tongue while a Shine Sprite marks the heel patch. A white rubber cupsole supports the build underfoot.
Puma RS-0 SEGA Dr. Eggman, Puma, 368350-01, 130, 110, 130, 130, 6374feb3eae4ab372ce3e930, Puma RS-0, Red, 2018-06-12, Inspired by the inventions that Sonic the Hedgehog’s enemy Dr. Eggman would use to try and stop the speedy hedgehog the SEGA x RS-0 'Dr. Eggman' from Puma features a red patent leather upper sock-like collar and midsole shank with a caution tape-like pattern. Co-branded logos are seen throughout.
Puma Future Rider Black Fives, Puma, 381958-01, 90, 150, 25, 25, 6374feb3eae4ab372ce3e931, Puma Future Rider, Star Sapphire/Maize, 2021-03-12, Made in collaboration with the nonprofit dedicated to honoring African-American basketball history before the NBA the Black Fives x Future Rider 'Star Sapphire Maize' emerges with a vibrant look. The shoe's upper is built with a mix of mesh textile and suede finished in white black Star Sapphire and Maize. A stylied chenille Formstrip marks the side wall while underfoot the injection-molded EVA midsole sports 'Make History Now' the foundation's motto.
Puma Clyde Court Disrupt Red Blast, Puma, 191715-02, 120, 188, 140, 140, 6374feb3eae4ab372ce3e934, Puma Clyde Court Disrupt, Red Blast, 2018-09-21, Puma alludes to their early basketball lineage with the modernized Clyde Court Disrupt basketball shoe. The Red Blast mid-top silhouette sports an engineered knit upper that wraps the midfoot while yellow accents line the ribbed sockliner and laces. A leather external heel counter promotes stability while the shoe rests on an Ignite cushioning system.
