shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
adidas Human Race NMD Pharrell Blank Canvas, adidas, AC7031, 250, 311, 250, 50, 6374fd4703a96e36ed3d19ea, adidas Human Race NMD, Cream White/Running White/Running White, 2018-02-23, Drawing inspiration from India’s Holi Festival of Color Pharrell and adidas Originals collaborated to design the three-sneaker ‘Blank Canvas’ pack. The NMD Human Race Trail Holi ‘Blank Canvas’ was released in February 2018 and sports an all-white palette across its Primeknit upper Boost midsole serrated outsole laces lacing cage and heel collar. The look is accented by embroidered ‘WORLD’ lettering on the left shoe matching Devanagari text on the right and NMD inserts at the midsole.
adidas Lab Race Noah Yellow, adidas, GW3325, 200, 73, 60, 60, 6374fd4703a96e36ed3d19ec, adidas Lab Race, Halo Ivory/Customized/Customized, 2021-11-18, As part of the New York-based menswear brand's capsule collection and drawing inspiration from the original adiZero Pro from 2005 is the Noah x adidas Lab Race 'Halo Ivory.' It's sustainably built with an upper made with 50% recycled content and a breathable off-white mesh with yellow synthetic suede overlays and green leather three-stripes. Dual Noah and adidas branding decorate the tongue and sockliner. It's built on a Lightstrike midsole with a Continental rubber outsole.
adidas Human Race NMD Pharrell x Chanel, adidas, D97921, 1160, 6000, 8000, 8000, 6374fd4703a96e36ed3d19ed, adidas Human Race NMD, Core Black/Running White, 2017-11-21, Pharrell and adidas joined forces on this highly limited edition of the NMD Human Race with historic fashion house Chanel. In November 2017 five hundred pairs were made accessible to the public through a random draw by Colette the famous Parisian design store that the following month shut down its doors for good. The shoe features a straightforward color scheme in black and white highlighted by 'Pharrell' and 'Chanel' printed on top of left and right shoes vamp.
adidas Lab Race Noah Brown, adidas, GW3324, 200, 55, 74, 74, 6374fd4703a96e36ed3d19ee, adidas Lab Race, Customized/Dark Blue/Cloud White, 2021-11-18, In part with a capsule collection with the New York-based menswear brand the Noah x adidas Lab Race 'Brown Dark Blue' feature an upper made with 50% recycled content. It features a dark tan mesh build with brown synthetic suede overlays and navy leather three-stripes. Noah's red cross logo is on the back heel while dual-branding tags are on the padded mesh tongue. It's built on a Lightstrike midsole with an adidas' Torsion bar and Continental Rubber outsole.
adidas Human Race NMD Pharrell x Chanel (Sample), adidas, D97921, 1160, undefined, 8000, 8000, 6374fd4703a96e36ed3d19ef, adidas Human Race NMD, Core Black/Running White, 2017-11-21, Pharrell and adidas joined forces on this highly limited edition of the NMD Human Race with historic fashion house Chanel. In November 2017 five hundred pairs were made accessible to the public through a random draw by Colette the famous Parisian design store that the following month shut down its doors for good. The shoe features a straightforward color scheme in black and white highlighted by 'Pharrell' and 'Chanel' printed on top of left and right shoes vamp.
Nike Waffle Racer Off-White Black (W), Nike, CD8180-001, 150, 152, 140, 119, 6374fd4703a96e36ed3d19f0, Nike Waffle Racer, Black/Laser Fuchsia-White, 2019-12-12, Part of a three-shoe pack the OFF-WHITE x Wmns Waffle Racer 'Fuchsia' features input from Virgil Abloh. The bold design includes a translucent textile overlay throughout its upper with the black and white finished accented by fuchsia Flywire cables. The medial side sports the usual overbranding while underfoot an exaggerated spiked outsole provides traction.
Nike Waffle Racer Off-White White (W), Nike, CD8180-100, 150, 159, 160, 100, 6374fd4703a96e36ed3d19f2, Nike Waffle Racer, White/Electric Green-Black, 2019-12-12, The OFF-WHITE x Wmns Waffle Racer 'Electric Green' from Virgil Abloh and Nike released as part of a three-shoe pack. Featuring the designer's signature aesthetic the upper is overlaid by a translucent textile accented by Electric Green on the laces. A hang-tag emerges on the right shoe with the usual overbranding on the medial side of both shoes. Underfoot a bold spiked outsole is included for traction.
Nike Flyknit Racer Multi-Color 3.0 (2016), Nike, 526628-004, 150, 145, 130, 130, 6374fd4703a96e36ed3d19f4, Nike Flyknit Racer, Dark Grey/Black-Blue Glow-Pink Flash, 2016-05-13, A re-release of a 2015 colorway the Flyknit Racer Multicolor 'Grey Tongue' 2016 features a vibrant pattern throughout its Flyknit upper. Contrasted by a black Swoosh and grey tongue the latter of which deviates from its predecessor the black and white tooling includes a Phylon midsole.
Nike Air Zoom Tempo Next% Flyknit Off-White Racer Blue Pink Glow, Nike, CV0697-400, 260, 235, 209, 209, 6374fd4703a96e36ed3d19f5, Nike Air Zoom Tempo Next% Flyknit, Racer Blue/Black-Pink Glow-White, 2021-07-23, Featuring a vibrant look the Off-White x Air Zoom Tempo Next% 'Pink Glow' updates the performance runner the way only Virgil Abloh can. Built with knit the shoe's upper sports a split look with pink paneling on the medial side and red and blue fibers worked into the lateral side. Painted Swoosh branding adds further pink to the look with the medial heel adding Abloh's Helvetica text. An asymmetrical lacing system secures the fit with a zip tie worked into that construction while underfoot the 'AIR'-labeled midsole includes Zoom Air in the forefoot for cushioning.
Nike Waffle Racer Off-White Vivid Sky (W), Nike, CD8180-400, 150, 122, 103, 98, 6374fd4703a96e36ed3d19f6, Nike Waffle Racer, Vivid Sky/Black-Electric Green, 2019-12-12, Virgil Abloh brings his signature aesthetic to the Waffle Racer with the OFF-WHITE x Wmns Waffle Racer 'Vivid Sky.' Releasing as part of a three-shoe pack the shoe's Vivid Sky upper is overlaid by translucent textile highlighted by Electric Green Swooshes and laces. The signature hang-tag and medial-side branding are both present while underfoot a bold spiked outsole provides traction.
