shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
adidas EQT Running Support 93 Packer Shoes SL80, adidas, C77362, 140, 700, 120, undefined, 6374fd6e03a96e36ed3d313b, adidas EQT Running Support 93, Blue/ Gold / Ststow, 2014-10-31, New Jersey sneaker boutique Packer Shoes mines the adidas vault to deliver a colorful take on the Equipment Running Support ‘SL 80’ released in 2014 just in time for the silhouette’s 35th anniversary. The retro runner sports a suede upper in varying shades of blue accented by gold three-stripes and a midsole finished in complementary red and yellow hues.
adidas EQT Running Support 93 Packer Shoes Micropacer, adidas, C77363, 140, 253, 100, undefined, 6374fd6e03a96e36ed3d313c, adidas EQT Running Support 93, Silver Metallic/Light Blue/Chalk White, 2014-08-29, Packer Shoes and adidas teamed up in 2014 to launch an Equipment Running Support inspired by the OG Micropacer. The retro runner features an upper built with metallic silver kangaroo leather with grey suede overlays accented with blue three-stripes and a pop of red at the back of the midsole. Each lace dubrae is printed with ‘1984’ and ‘2014’ the former referencing the launch year of the Micropacer.
Nike Air Max 90 SE Running Club, Nike, DC9336-300, 160, 78, 89, 89, 6374fd6e03a96e36ed3d313f, Nike Air Max 90 SE, Roma Green/Sail/Orange/Mean Green, 2021-11-16, Drawn from the 'Air Max Running Club' collection is the Nike Air Max 90 SE 'Roma Green.' The pair features a plush exposed foam tongue and mismatched 'AMRC' and 'BVRTN OR' tags on the lateral side of each shoe. Its' upper is made with lime green textile with a tonal suede overlay white leather Swoosh and red suede mudguard. On the bottom is a white polyurethane midsole with a visible Max Air unit surrounded by an orange midsole wedge.
Nike Air Max 90 SE Running Club Deep Royal, Nike, DC9336-400, 130, 98, 98, 98, 6374fd6e03a96e36ed3d3140, Nike Air Max 90 SE, Deep Royal/University Red-Black-Obsidian, 2021-11-18, Taken from the 'Air Max Running Club' collection is the Nike Air Max 90 SE 'Deep Royal.' The upper is made with an Obsidian textile base with blue suede overlays a red leather Swoosh and a black hairy suede mudguard. Mismatched woven tags on each shoe's lateral side show 'AMRC' and 'BVRTN OR' branding with a retro Nike Air tag decorating the exposed foam tongue. On the bottom is a polyurethane midsole with a visible Max Air unit in the heel and a waffle-traction rubber outsole.
Nike Air Max 97 SE Running Club Black Royal, Nike, DH1085-001, 190, 88, 104, 104, 6374fd6e03a96e36ed3d314b, Nike Air Max 97 SE, Black/Light Zitron-Deep Royal Blue-Obsidian, 2021-11-18, Drawing from the 'Air Max Running Club' collection is the Nike Air Max 97 SE 'Blue.' The upper combines a navy textile base with tonal suede overlays in smooth and hairy textures with an off-white finish applied to the laces and exposed foam tongue with a woven Nike Air tag. Additional branding elements include a yellow embroidered mini-Swoosh and mismatched tags that display 'AMRC' and 'BVRTN OR' lettering. It's built on a crisp white foam midsole with a visible Max Air unit running the length of the black rubber outsole.
adidas Ultra Boost 4.0 Running White, adidas, BB6168, 180, 127, 134, 70, 6374fd6e03a96e36ed3d314c, adidas Ultra Boost 4.0, Running White/Running White/Running White, 2017-11-30, The UltraBoost 4.0 'Triple White' emerges with an almost monochromatic look. The shoe's Primeknit upper is finished entirely in Footwear White including on the lacing cage and stabilizing heel counter. The look is matched by the Boost midsole underfoot but the Continental rubber outsole brings contrast in black.
Nike Air Max 95 SE Running Club Deep Royal Blue, Nike, DH2718-001, 170, 104, 100, 100, 6374fd6e03a96e36ed3d314e, Nike Air Max 95 SE, Black/Sail-Obsidian-Deep Royal Blue, 2021-11-18, Taken from the 'Air Max Running Club' collection is the Nike Air Max 95 SE 'Black.' It features a vintage aesthetic that nods to Nike's role in the '70s running revolution. The redesigned upper has a black textile base with wavy hairy-suede overlays in blue and dark navy. A woven Nike Air tag is atop an exposed foam tongue with a small tag on the lateral heel inscribed with 'AMRC' on the right shoe and 'BVRTN OR' on the left. On the bottom is visible Max Air cushioning enhancing a solid white foam midsole that's supported by a black waffle-traction rubber outsole.
adidas NMD Hu Pharrell x Billionaire Boys Club Running Dog Green, adidas, GZ1664, 220, 95, 92, 90, 6374fd6e03a96e36ed3d3162, adidas NMD Hu, Customized/Core White/Brown, 2021-12-21, Featuring branding elements from Pharrell's streetwear brand Nigo and Sk8thing is the BBC Ice Cream x Pharrell x adidas NMD Human Race 'Running Dog.' This slip-on features a lush green Primeknit textile upper with BBC's Running Dog logo embroidered across the vamp of the right and left shoe. Mismatched Ice Cream and adidas branding is stamped on the contrasting brown leather heel tabs with a full-length Boost midsole.
Nike Air Max Plus SE Air Max Running Club University Blue, Nike, DC9332-600, 170, 97, 93, 60, 6374fd6e03a96e36ed3d3163, Nike Air Max Plus SE, University Red/Light Photo Blue/Sail/Pollen, 2021-11-18, Taken from the 'Air Max Running Club' collection inspired by the Athletics West running team founded in 1977 by Bill Bowerman Phil Knight and Geoff Hollister is the Nike Air Max Plus SE 'University Red Light Photo Blue.' Updated with an exposed-foam nylon tongue the retro runner features a blue textile upper with a crimson TPU cage and color-matched suede overlays. Woven tags on the lateral eyestay of each shoe show mismatched 'AMRC' and 'BVRTN OR' branding. On the bottom is a white polyurethane midsole with visible Max Air cushioning and a whale tail-inspired shank plate in a gradient blend of blue and yellow.
Reebok Question Low BBC Ice Cream Running Dog Yellow Purple, Reebok, G55351, 130, 190, 116, 116, 6374fd6e03a96e36ed3d3166, Reebok Question Low, Yellow/Purple/Purple, 2020-11-06, Reebok teamed up with Pharrell Williams' streetwear brand to create the BBC Ice Cream x Question Low 'Bubba Chuck Flavor.' Allen Iverson's debut signature shoe emerges with a pastel look built with a mix of leather and suede and highlighted by BBC's running dog icon on the quarter panel. The mismatched tongues include Ice Cream and Iverson branding while underfoot Hexalite in the forefoot and heel provides cushioning.
adidas Ultra Boost Undefeated Performance Running Black, adidas, BC0472, 220, 106, 96, 96, 6374fd6e03a96e36ed3d3169, adidas Ultra Boost, Shift Grey/Cinder/Utility Black, 2018-11-09, Included as part of a comprehensive running collection comprising both apparel and footwear the release of Undefeated x UltraBoost ‘Utility Black’ promotes a white-on-black camouflage print on the shoe’s Primeknit upper. The midfoot cage is outfitted in the same distinctive design motif while light grey wraps both the supportive heel counter and Stretchweb rubber outsole underfoot.
Reebok Question Low BBC Ice Cream Running Dog Yellow Green, Reebok, FZ4345, 130, 215, 200, 180, 6374fd6e03a96e36ed3d316a, Reebok Question Low, Yellow/Purple/Green, 2020-11-06, Reebok teamed up with Pharrell Willliams' streetwear brand to create the BBC Ice Cream x Question Low 'Yellow Lilac Glow' in November 2020. Built with leather the shoe's upper features a Fil Yellow base overlaid by Lilac Glow on the mudguard. The toe cap heel and quarter panel are built with green suede with BBC's running dog on the latter. A 3D Ice Cream logo on the tongue completes the look.
Reebok Question Low BBC Ice Cream Running Dog Yellow Red, Reebok, FZ4346, 130, 208, 123, 123, 6374fd6e03a96e36ed3d316b, Reebok Question Low, Yellow/Red/Pink, 2020-11-06, The BBC Ice Cream x Question Low 'Yellow Red' released as part of a collaboration with Pharrell Williams' streetwear brand. Allen Iverson's first signature shoe emerges with a vibrant look on its elevated construction featuring a mix of yellow red and pink on its nubuck and suede build. BBC's running dog appears on the quarter panel while Ice Cream branding emerges on the tongue tag. Underfoot visible Hexalite in the forefoot and heel provides cushioning.
adidas EQT Running Support 93 Big Apple Bait, adidas, C77364, 160, 186, 149, 149, 6374fd6e03a96e36ed3d3175, adidas EQT Running Support 93, Fromin/Black/White, 2015-01-31, The Bait x EQT Running Support ‘The Big Apple’ is a 2015 collaboration between the California-based sneaker boutique and adidas. The retro runner takes inspiration from an iconic New York City landmark featuring a teal nubuck upper that recalls the exterior coloring on the Statue of Liberty. In addition to black signature three-stripes the shoe is enlivened with pops of red on the heel tab and midsole.
Nike Air Huarache Run Zip Shoe Palace 25th Anniversary, Nike, AR9862-002, 160, 143, 245, 245, 6374fd6e03a96e36ed3d317b, Nike Air Huarache Run Zip, Metallic Silver/White-University Red, 2018-07-21, A collaboration with Shoe Palace to celebrate the retailer's 25th anniversary the Shoe Palace x Air Huarache Zip '25th Anniversary' features a silver and grey build contrasted by hits of red throughout. A branded zipper runs down the tongue noting the shoe's model number out of 500 with XXV and '93 as nods to Shoe Palace's first year in business. The insole sports further callouts to Shoe Palace while a red outsole brings additional color to the look.
adidas Pure Boost LTD Undefeated Performance Running, adidas, BC0474, 140, 140, 49, 49, 6374fd6e03a96e36ed3d3180, adidas Pure Boost LTD, Shift Grey/Cinder/Utility Black, 2018-11-09, The Undefeated x PureBoost LTD ‘Shift Grey’ dropped in November 2018 as part of a larger running collection featuring both apparel and footwear. This PureBoost sports a 3D knit textile upper highlighted with camouflage detailing on the tongue and heel that evokes Undefeated’s signature military-inspired style. Full-length Boost cushioning and a flexible outsole promote comfort and support.
adidas Ultra Boost Undefeated Performance Running Grey, adidas, CG7148, 220, 115, 60, 60, 6374fd6e03a96e36ed3d3181, adidas Ultra Boost, Shift Grey/Cinder/Utility Black, 2018-11-09, The Undefeated x UltraBoost ‘Shift Grey’ subtly features a completely neutral colorway with subdued logos that draw attention to the collaborative nature of the release. A breathable Primeknit upper blending black and grey fibers is reinforced by a translucent TPU cage marked by UNDFTD lettering. Different tongue tags display Undefeated’s Five Strikes on the right shoe and an adidas logo on the left.
adidas NMD R1 Running White Grey Three, adidas, EE5074, 170, 130, 200, 80, 6374fd6e03a96e36ed3d318f, adidas NMD R1, Running White/Running White/Grey Three, 2019-07-01, Released in 2019 the NMD_R1 Primeknit 'Two Tone Boost - White' features a subtle look to live up to its name. The shoe's upper sports a Primeknit construction in white matched by the Three-Stripes TPU heel counter and eyestay. Grey Three emerges on the collar with black on the heel pull-tab. Underfoot the Boost midsole sports a mix of white and Grey Three with the blocking matched by the EVA plugs which provide stability. A rubber outsole is included for traction.
adidas EQT Running Support 93 Tokyo, adidas, B27661, undefined, 335, 60, 60, 6374fd6e03a96e36ed3d3194, adidas EQT Running Support 93, Croyal/Blubir/Ftwwht, 2018-05-14, Inspired by American sprinter Robert Lee ‘Bullet Bob’ Hayes who ran in the 1964 Tokyo Olympics the limited-edition ‘Tokyo’ edition of the EQT Support 93 flaunts a Royal Blue all-suede upper with a matching leather heel counter and a woven Tokyo flag on the heel tab. The Three Stripes branding EVA midsole and rubber outsole are all dressed in white. And the silhouette is based on retro runner renowned for its blend of function and fashion.
adidas EQT Running Support Flurro Yellow, adidas, BB3397, 120, 135, 169, 169, 6374fd6e03a96e36ed3d3197, adidas EQT Running Support, Light Blue/Fluro Yellow, 2016-12-15, The Palace x EQT ‘Flurro Yellow’ dropped as part of a larger adidas collaboration from Holiday 2016. Palace’s take on the classic adidas runner makes use of a blue and yellow Primeknit upper topped with a sock-like collar and reinforced with an external heel cage and no-sew overlays. The sneaker rests on an EQT midsole complete with molded three-stripes.
adidas Falcon Running White (W), adidas, EE4149, 100, 347, 120, 120, 6374fd6e03a96e36ed3d319e, adidas Falcon, Running White/ Raw White/ Trace Pink, 2019-02-01, The Wmns Falcon 'Raw White' puts a pastel colorway on the retro-inspired runner. The shoe's upper features a mesh base overlaid by leather in teal and Trace Pink. Underfoot a sculpted EVA midsole provides cushioning working with a Torsion bar for stability. A rubber ousole is included for traction while up top a classic window logo below the eyestay contributes to the throwback design.
Reebok Instapump Fury Icons Pack Running Dual, Reebok, FU9113, 180, 128, 120, 120, 6374fd6e03a96e36ed3d31b9, Reebok Instapump Fury, White/College Royal-Scarlet, 2019-09-27, Launching in 2019 as part of a four-piece ‘Icons’ Pack the InstaPump Fury 'Running Dual' features a design that replicates the look of the classic Reebok Pump Running Dual from 1992. Details include a white ballistic mesh upper with matching white on the inflatable cage red nylon pull loops at the tongue and heel and contrasting red and blue leather overlays along the toe.
adidas EQT Running Guidance Solebox, adidas, B35714, 135, 226, 280, 280, 6374fd6e03a96e36ed3d31be, adidas EQT Running Guidance, Black/Red/Stone, 2014-12-06, For this Solebox x EQT Running Guidance 93 the Berlin-based retailer Solebox has teamed up with adidas Consortium. The colorway emphasizes the classic sneaker design by combining a light gray suede foundation with a dark gray panel and a black mesh on the panel's toe and quarter. The look is emphasized by red hits on the tongue lace aglets three sole and branded heel patches.
Reebok Pump Running Dual Garbstore Blue, Reebok, M43015, undefined, undefined, undefined, undefined, 6374fd6e03a96e36ed3d31d5, Reebok Pump Running Dual, Blue/Blue, 2014-11-01, <b>Please Note: due to natural aging deadstock pairs may come without a functioning pump unit.<b>
