shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Saucony Shadow 5000 Feature Dreamland, Saucony, S70480-1, 110, 187, 160, 160, 6374febaeae4ab372ce3ec6e, Saucony Shadow 5000, Black/Black, 2019-10-19, Revealed in October 2019 the Feature x Saucony 'Dreamland' collab is inspired by Area 51. The Shadow 5000's textured leather ventialted nubuck and suede upper glows with reflective hits and a glow-in-the-dark midfoot logo. A hazard heel tab co-branded tongue badge and heat-map insole boast distinctive flair. Translucent neon on the rubber outsole adds a final mysterious touch to this extraterrestrial offering.
Saucony Shadow 6000 Alife (2022), Saucony, S70679-1, 120, 102, 90, undefined, 6374febaeae4ab372ce3ec73, Saucony Shadow 6000, White/Multi-Color, 2021-12-10, Tributing MTA subway trains in New York City the Saucony Shadow 6000 ALIFE features a white mesh upper with multicolor suede overlays that represent the iconic lines in the subway system. Reflective metallic Saucony insignia on the quarter panels ALIFE logos on the toe wraps and gum outsoles add the finishing touches to this collaborative trainer.The Saucony Shadow 6000 ALIFE released in December of 2021 and retailed for $150.
Saucony Grid Azura 2000 Orange, Saucony, S70491-1, 110, 124, 112, 112, 6374febaeae4ab372ce3ec80, Saucony Grid Azura 2000, White/Orange-Black, 2020-05-01, Saucony teamed up with Bodega to create the Bodega x Grid Azura 2000 'Orange Black' in March 2020. A previously unreleased concept model from the 90s the shoe's upper includes a vibrant mesh base overlaid by a black sawtooth design. The Saucony logo emerges on a semitranslucent mono-mesh window while a Grid midsole provides cushioning underfoot.
Saucony Shadow 5000 AFEW Time & Space, Saucony, S70504-1, 178, 311, 425, 425, 6374febaeae4ab372ce3ec81, Saucony Shadow 5000, Green/Black, 2020-09-19, Inspired by Albert Einstein's time in Princeton the AFEW x Shadow 5000 'Time & Space' released as part of a collaboration with the German retailer. The shoe's grey tweed upper gives the nod to his sports coats while green suede paneling draws from classroom chalkboards. The foam midsole which sports a glow-in-the-dark finish includes scribbled formulas while the heel sports 'A=few' branding. The mismatched white and beige heel patches sport graphics representing time and space.
Saucony Shadow 6000 Avocado Toast, Saucony, S70447-1, 140, 200, 210, 210, 6374febaeae4ab372ce3ec84, Saucony Shadow 6000, Green/Brown, 2019-02-26, The Shadow 6000 'Avocado Toast' features a tongue-in-cheek look based on millennials' 'favorite' food. The shoe's suede and leather upper features green on the top half of the construction with brown on the mudguard with red flakes on the collar completing the look. Underfoot a two-tone Ionic midsole provides cushioning with a prominent traction pattern on the outsole. Unique branding includes Saucomole on the heel.
Saucony Grid Azura 2000 OG (2020), Saucony, S70489-1, 100, 63, 78, 78, 6374febaeae4ab372ce3ec8a, Saucony Grid Azura 2000, White/Blue-Lime, 2020-02-04, The Bodega x Grid Azura 2000 QS 'Blue Lime' released as part of a collaboration with the Boston retailer. Drawing from a concept design the shoe's upper is built with a mesh base with black sawtooth overlays accenting the design. Hits of Lime highlight the look while underfoot a decoupled rubber outsole provides traction.
Saucony Grid SD 24 Kilates La Victoria, Saucony, S70473-1, 220, 300, 165, 165, 6374febaeae4ab372ce3ec8e, Saucony Grid SD, Brown/Navy, 2019-10-11, The 24 Kilates x Saucony Grid SD 'La Victoria' gets its name from the first ship to circumnavigate the globe. Nautical references are built into the design featuring a brown leather upper with contrast zigzag stitching brass grommets and a white ripstop tongue. 24 Kilates branding adorns the tongue tag while the heel tab replicates the look of the Spanish ship’s flag.
Saucony Aya Raised By Wolves, Saucony, S70501-1, 130, 130, 121, 121, 6374febaeae4ab372ce3ec9c, Saucony Aya, Grey/Grey-Red-Orange, 2020-01-18, The Raised By Wolves x AYA 'Asphalt Jungle' released as part of a collaboration with the Canadian streetwear brand. Utilizing a previously discontinued 90s runner the shoe emerges with a look inspired by 90s skating culture. The shoe's mixed-material upper includes a mix of mesh ripstop and suede finished in grey and highlighted by the collar lining and inside of the tongue which features a concealed stash pocket.
Saucony Courageous Moc Lapstone & Hammer Two Rivers Bone White, Saucony, S70506-2, 150, 175, 155, 155, 6374febaeae4ab372ce3ec9d, Saucony Courageous Moc, Bone White/Bone White, 2020-03-28, The Lapstone and Hammer x Courageous Moc 'Two Rivers - Bone' released as part of a collaboration with the Philadelphia retailer. The retro runner emerges in a mix of suede and leather finished in Bone and complemented by whip-stitched moc toe detailing. Calfskin leather emerges on the inner lining while sherpa lines the tongue. Underfoot the geniune cork and EVA midsole gives way to a rippled gum rubber outsole for traction.
Saucony Shadow 6000 White Multi-Color (Billy's), Saucony, S70535-1, 125, 100, 121, 121, 6374febaeae4ab372ce3eca1, Saucony Shadow 6000, White/Multi-Color, 2020-09-05, Inspired by beach parties the Shadow 6000 'Endless Summer' emerges with vibrant accents. The shoe's upper is built with a mix of suede and mesh finished in white and tan and highlighted by hits of red yellow and blue. The custom sockliner includes an allover beach ball graphic while underfoot the foam midsole provides cushioning. A gum rubber outsole sports triangular lugs for traction.
