shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
adidas Sleek Super Beyonce Ivy Park White Blue, adidas, GZ3890, 140, 70, 58, 58, 6374fd4b03a96e36ed3d1b65, adidas Sleek Super, White/Royal Blue/BlackIvy Park, 2021-08-20, The Ivy Park x Wmns Super Super Sleek 'White Royal Blue' released as part of a larger collection. Made with the help of Beyoncé's athleisure brand the shoe's bold construction incorporates a white textile base on the upper overlaid by tonal leather and highlighted by the Three-Stripes which appear in blue. The black foxing adds Ivy Park branding while underfoot a semitranslucent lugged platform midsole anchors the fit.
adidas Yeezy 500 Super Moon Yellow, adidas, DB2966, 200, 201, 200, 200, 6374fd4b03a96e36ed3d1b66, adidas Yeezy 500, Super Moon Yellow/Super Moon Yellow/Super Moon Yellow, 2018-06-09, The Yeezy 500 Super Moon Yellow features adidas ‘Feet You Wear’ technology and a yellow finish on the suede and mesh upper. The initial release was unconventional in that shoppers were able to get their hands on the kicks only if they purchased a bundled option that also included a hoodie and sweat shorts. However the sneakers released independently a few months later.
adidas Super Sleek 72 Ivy Park Icy Park (W), adidas, GX2769, 145, 46, 48, 48, 6374fd4b03a96e36ed3d1b68, adidas Super Sleek 72, White/Core White, 2021-02-19, Made in collaboration with Beyoncé's athleisure brand the Ivy Park x Wmns Super Sleek 72 'Icy Park' features an Alpine theme. The shoe's low-profile upper appears in white built with leather and overlaid by off-white suede including on the T-toe drawn from the Samba. The integrated lacing system incorporates bungee detailing that wraps around the heel while underfoot a double-stacked platform midsole anchors the build.
MSCHF Super Normal 2 Perrotin Edition, MSCHF, MSCHF005.1-5OS, 185, 225, 260, undefined, 6374fd4b03a96e36ed3d1b69, MSCHF Super Normal 2, 5 O’clock Shadow, 2022-11-03, MSCHF released an individually numbered edition of 666 Supernormal 2 "5 O’clock Shadow" sneakers to coincide with the opening of their inaugural solo gallery show No More Tears I’m Lovin’ It. The Supernormal 2s are an updated version of their original MSCHF Supernormal sneaker with a new liquified outsole tread. The "5 O’clock Shadow" colorway uses a natural black hairy upper flecked with white. Each shoe is embroidered with its edition number on the lateral heel (1-666 or Artist Proof).
Jordan 12 Low SE Super Bowl LV, Jordan, DC1059-001, 190, 154, 157, 129, 6374fd4b03a96e36ed3d1b6b, Jordan 12 Low SE, Black/Metallic Gold/Varsity Red, 2021-02-06, Releasing in February 2021 to celebrate the NFL's season finale the Air Jordan 12 Retro Low SE ‘Super Bowl’ emerges with a festive colorway. Built with black textile the shoe's upper is highlighted by a multicolor confetti print on the collar lining and inside of the tongue. The signature basketball-textured mudguard appears in Varsity Red while the midfoot overlay and molded eyelets accent the look in metallic gold. The heel patch appears in a Tamba Bay Buccaneers mix of red and orange as a nod to that year's host city.
adidas Super Sleek 72 Beyonce Ivy Park Black (W), adidas, FZ4386, 120, 50, 43, 43, 6374fd4b03a96e36ed3d1b6c, adidas Super Sleek 72, Core Black/Core Black/Core Black, 2020-11-17, Made in collaboration with Beyoncé's activewear brand the Ivy Park x Wmns Super Sleek 72 'Black Gum' updates the classic Samba. The shoe's upper is built with tumbled leather overlaid by suede at the toe and heel and finished entirely in black. A unique lacing system secures the fit while underfoot a semitranslucent gum rubber platform midsole anchors the fit. A gum rubber outsole provides traction.
adidas Sleek Super Beyonce Ivy Park Beige, adidas, GZ3891, 140, 73, 78, 78, 6374fd4b03a96e36ed3d1b6d, adidas Sleek Super, Sand/Yellow/White/Gum, 2021-08-20, adidas teamed up with Beyoncé's athleisure brand to create the Ivy Park x Wmns Super Super Sleek 'Sand.' The shoe's bold construction emerges with a neutral colorway built with a beige textile base and overlaid by tonal leather. The lacing system incorporates a coiled paracord at the heel to secure the fit while the insole and stripe that wraps around the base of the shoe include Ivy Park branding. Underfoot a semitranslucent lugged platform sole unit anchors the build.
Golden Goose Super-Star Black White Leather, Golden Goose, GMF00101F00032180203, 495, 289, 226, undefined, 6374fd4b03a96e36ed3d1b6e, Golden Goose Super-Star, Black/White, 2021-01-01, DISCLAIMER: Golden Goose sneakers are hand distressed so there will be natural variation between pairs. Photo is for reference only.
adidas Super Sleek 72 Beyonce Ivy Park White Black (W), adidas, S29030, 100, 63, 60, 60, 6374fd4b03a96e36ed3d1b71, adidas Super Sleek 72, Footwear White/Core Black/Ecru Tint, 2020-10-30, Releasing in collaboration with Beyoncé's activewear brand the Ivy Park x Wmns Super Sleek 72 'White Gum' draws from the SL 72. The shoe's upper is built with a white leather base with black on the Three-Stripes and heel patch and suede on the forefoot overlay. Neon green highlights the base of the shoe sporting Ivy Park branding on the forefoot. Underfoot a semitranslucent gum rubber platform sole unit anchors the build.
Puma Future Rider Super Mario 64, Puma, 380196-01, 90, 100, 69, 69, 6374fd4b03a96e36ed3d1b74, Puma Future Rider, Puma White/Energy Turquoise, 2020-11-27, Puma teamed up with Nintendo to create the Nintendo x Future Rider 'Super Mario 64' part of a larger collection. The shoe's upper is built with a white mesh base overlaid by off-white suede. The heel includes a debossed wings graphic that pay tribute to Mario's Wing Cap while blue on the leather Formstrip calls out the game's sky. A Mario hang-tag plays to theme as does the TPU heel insert with a brick pattern. Underfoot red white and green combine on the tooling to complete the look.
adidas Super Sleek Boot Beyonce Ivy Park Halls of Ivy (W), adidas, GZ4454, 180, 136, 194, 194, 6374fd4b03a96e36ed3d1b78, adidas Super Sleek Boot, Wild Pine/Focus Olive/Solar Green, 2021-12-15, The Ivy Park x adidas Super Sleek Boot 'Halls of Ivy' is part of the fifth collection with Beyoncé’s athleisure brand. It's a sneaker-boot hybrid that draws inspiration from the classic Samba. Monochromatic olive green is featured on the upper that's lined in Sherpa fleece and built with a blend of ballistic mesh and premium suede. D-ring eyelets are featured with a coiled bungee strap that wraps around the high-cut collar. It's built on a gum rubber platform sole.
Golden Goose Super-Star Black White Leather (W), Golden Goose, GWF00101F00032180203, 495, 422, 260, undefined, 6374fd4b03a96e36ed3d1b79, Golden Goose Super-Star, Black/White, , DISCLAIMER: Golden Goose sneakers are hand distressed so there will be natural variation between pairs. Photo is for reference only.
Puma Clyde Super Mario Sunshine, Puma, 380199-01, 80, 110, 40, 40, 6374fd4b03a96e36ed3d1b7a, Puma Clyde, Whisper White/Angel Blue, 2020-11-27, The Nintendo x Clyde 'Super Mario Sunshine' released to celebrate 35 years of Mario. Celebrating Super Mario Sunshine the shoe features inspiration from Isle Delfino with the off-white nubuck highlighted by a blue Formstrip modeled after the F.L.U.D.D. The game's released year 2002 appears inside the tongue while a Shine Sprite marks the heel patch. A white rubber cupsole supports the build underfoot.
Golden Goose Super-Star White Green Grey Suede Patch, Golden Goose, GMF00102F00218010802, 495, 300, 290, undefined, 6374fd4b03a96e36ed3d1b82, Golden Goose Super-Star, White/Green, 2021-01-01, DISCLAIMER: Golden Goose sneakers are hand distressed so there will be natural variation between pairs. Photo is for reference only.
Jordan 10 Retro Super Bowl LIV, Jordan, CV9776-900, 190, 235, 217, 190, 6374fd4b03a96e36ed3d1b83, Jordan 10 Retro, Multi-Color/Multi-Color, 2020-01-31, The Air Jordan 10 Retro 'Super Bowl LIV' released in January 2020 for that year's Super Bowl held in Miami. Rather than leather the shoe's upper is built with canvas finished in a palm-tree print throughout. Pink and green on the collar and heel pull-loop add to the Miami look as does the gum rubber outsole with pink stripes underfoot.
Golden Goose Super-Star White Vacchetta Tan Grey Suede Patch, Golden Goose, GMF00102F00218210803, 495, 291, 289, undefined, 6374fd4b03a96e36ed3d1b84, Golden Goose Super-Star, White/Vacchetta/Grey, 2021-01-01, DISCLAIMER: Golden Goose sneakers are hand distressed so there will be natural variation between pairs. Photo is for reference only.
adidas EQT Support Mid ADV Primeknit Dragon Ball Z Super Shenron, adidas, DB2933, 170, 88, 75, 75, 6374fd4b03a96e36ed3d1b85, adidas EQT Support Mid ADV Primeknit, Black/Black/Gold, 2018-12-22, adidas teamed up with Dragon Ball Z to launch seven special colorways of their iconic profiles. Influenced by the EQT Support design the Dragon Ball Z x EQT Support Mid ADV Primeknit ‘Shenron’ boasts a Collegiate Green Primeknit upper with dark green hits across the forefoot. The sneaker also employs integrated Three Stripes branding in black a sock-like collar for comfort a Bold Gold heel side panel and a Boost midsole for responsive cushioning.
Jordan 3 Retro JTH Super Bowl, Jordan, AV6683-160, 200, 650, 640, 640, 6374fd4b03a96e36ed3d1b86, Jordan 3 Retro, White/Fire Red/Black/White, 2018-02-04, Worn by Justin Timberlake during his Super Bowl LII Halftime show—and released as a surprise drop on the Nike SNKRS app simultaneously—the Air Jordan 3 Retro JTH NRG in ‘White Cement’ combines the classic colorway with a newer Tinker Hatfield design and features a Swoosh on the lateral side and ‘NIKE’ printed on the medial collar. Timberlake’s embroidered signature is seen on the inside of the tongue.
Jordan 12 Retro Low Super Bowl (GS), Jordan, DH9695-001, 140, 113, 98, 98, 6374fd4b03a96e36ed3d1b87, Jordan 12 Retro Low, Black/Varsity Red/Metallic Gold, 2021-02-06, Released ahead of Super Bowl LV the Air Jordan 12 Low SE GS 'Super Bowl' emerges with a colorway fit for the occasion. Built with stitched textile the shoe's upper appears in black with the signature basketball-textured overlay complementing the design in Varsity Red. The molded eyelets and midfoot accent the look in metallic gold while the heel patch includes '813' as a nod to the host city of Tampa Florida.
Nike Air Barrage Low Super Bowl LIV, Nike, CT8454-001, 130, 129, 120, 120, 6374fd4b03a96e36ed3d1b88, Nike Air Barrage Low, Black/Pink Blast-Infinite Gold, 2020-01-29, Celebrating the 2020 Super Bowl host city of Miami the Air Barrage Low QS 'Super Bowl LIV' released in January 2020. Built with a black leather base the upper is complemented by Infinite Gold textile inlays highlighted by hits of Pink Blast leather. The heel includes '305' as a nod to Miami's area code while underfoot Air provides cushioning.
ASICS Gel-Lyte III Ronnie Fieg Tokyo Trio Super Gold, ASICS, 1203A044-100, 180, 92, 134, 134, 6374fd4b03a96e36ed3d1b89, ASICS Gel-Lyte III, White/Gold, 2020-07-27, Part of a larger collection the Kith x Gel Lyte 3 'Tokyo Trio Pack - Super Gold' features inspiration from the Tokyo Games. Built with white leather the upper is highlighted by Rich Gold on the Tiger stripes while the branding on the heel accents the look. Underfoot the midsole houses Gel in the heel for cushioning giving way to a two-tone rubber outsole for traction.
Jordan Max 200 Super Bowl LIV, Jordan, CV9778-900, 125, 149, 100, 100, 6374fd4b03a96e36ed3d1b8d, Jordan Max 200, Multi-Color/Multi-Color, 2020-01-31, The Jordan Air Max 200 XX 'Super Bowl LIV' gives the nod to that year's Super Bowl host Miami. As a result the shoe's upper includes leaf-style graphics on the tongue heel and quarter panel. Otherwise built with off-white textile and highlighted by vibrant hits of canvas the shoe is supported underfoot by a midsole that includes a larger Max Air unit in the heel to provide cushioning.
Golden Goose Super-Star White Royal Blue Grey Suede Patch, Golden Goose, GMF00102F00218110509/GMF00102.F000311.10270, 495, undefined, undefined, undefined, 6374fd4b03a96e36ed3d1b90, Golden Goose Super-Star, White/Royal Blue, , DISCLAIMER: Golden Goose sneakers are hand distressed so there will be natural variation between pairs. Photo is for reference only.
adidas Boston Super X Marathon Yara Shahidi, adidas, GW3237, 100, 49, 52, 52, 6374fd4b03a96e36ed3d1b98, adidas Boston Super X Marathon, Forest Night/Yellow/Halo Amber, 2021-06-23, adidas tapped the actress and activist to create the Yara Shahidi x Boston Super Marathon 'Forest Night Yellow' part of a larger collection. The debut of the hybrid silhouette which draws from the Boston Super and Marathon the shoe's upper is built with textile and suede finished in Forest Night and highlighted by yellow on the leather Three-Stripes. Underfoot trefoil-shaped lugs provide traction on the rubber outsole.
Golden Goose Super-Star White Yellow Burgundy Snakeskin Patch, Golden Goose, GMF00101F00202510766, 495, 394, 265, undefined, 6374fd4b03a96e36ed3d1b9b, Golden Goose Super-Star, White/Yellow/Burgundy, , DISCLAIMER: Golden Goose sneakers are hand distressed so there will be natural variation between pairs. Photo is for reference only.
Golden Goose Super-Star White Grey Snakeskin, Golden Goose, GMF00101F00204510772, 495, 294, 245, undefined, 6374fd4b03a96e36ed3d1b9e, Golden Goose Super-Star, White/Grey/Snakeskin, , DISCLAIMER: Golden Goose sneakers are hand distressed so there will be natural variation between pairs. Photo is for reference only.
Golden Goose Super-Star White Vacchetta Tan Grey Suede Patch (W), Golden Goose, GWF00102F00218210803, 495, 340, 285, undefined, 6374fd4b03a96e36ed3d1b9f, Golden Goose Super-Star, White/Vacchetta/Grey, , DISCLAIMER: Golden Goose sneakers are hand distressed so there will be natural variation between pairs. Photo is for reference only.
adidas Sleek Super 72 Beyonce Ivy Park (W), adidas, FX3157, 100, 144, 100, 100, 6374fd4b03a96e36ed3d1ba2, adidas Sleek Super 72, Footwear White/Maroon/Dash Grey, 2020-01-18, Updating the Samba the Beyonce Ivy Park x Wmns Sleek Super 72 'Maroon' released in collaboration with Beyoncé. Built with a white leather base the upper includes a suede overlay at the forefoot with maroon on the Three-Stripes and heel patch. Orange highlights the base of the shoe while underfoot a semitranslucent platform midsole anchors the fit giving way to a herringbone outsole for traction.
Under Armour Curry 7 Super Soaker Christmas (2019), Under Armour, 3021258-404, 150, 155, 100, 100, 6374fd4b03a96e36ed3d1ba5, Under Armour Curry 7, Water/White-American Blue, 2019-12-27, Inspired by the iconic Nerf toy the Curry 7 'Super Soaker' emerges with a vibrant look. Built with multilayer mesh the shoe's upper appears in white and blue overlaid by tonal leather and bolstered by TPU skins. The tongue and branding accent the look in orange matched by the flexible plate in the midsole. UA HOVR and Micro G combine to provide cushioning.
