shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Nike Pegasus Trail 3 Gore-Tex Black Dark Smoke Grey, Nike, DC8793-001, 160, 97, 90, 90, 6374ff48c30ceb3748b481ba, Nike Pegasus Trail 3 Gore-Tex, Black/Dark Smoke Grey/Iron Grey/Black, 2021-09-21, Delivering a sleek colorway of a performance running shoe made for harsher weather is the Nike Pegasus Trail 3 GTX 'Triple Black.' The seamless upper is made from black textile with tonal Gore-Tex branding on the toe box nodding to the waterproof lining of the interior. The midfoot is supported by a dynamic-fit band while a pull tab at the heel allows easy on and off. On the bottom is a matching black Nike React midsole with a durable lugged rubber outsole.
Nike Pegasus Trail 3 Gore-Tex Black Dark Smoke Grey (W), Nike, DC8794-001, 140, 72, 60, 60, 6374ff48c30ceb3748b481bc, Nike Pegasus Trail 3 Gore-Tex, Black/Dark Smoke Grey/Iron Grey/Black, 2021-10-14, Showcasing a one-note finish is the Nike women's Pegasus Trail 3 GTX 'Triple Black.' The seamless textile upper is lined in waterproof Gore-Tex and equipped with a gaiter-style collar that keeps trail debris out of the shoe. A Nike React midsole has a dynamic fit band system that adds midfoot support with a bike tire-inspired traction pattern on the lugged rubber outsole.
Nike Air Zoom Pegasus 36 Trail Gyakusou Red, Nike, CD0383-600, 160, 79, 55, 43, 6374ff48c30ceb3748b481bd, Nike Air Zoom Pegasus 36 Trail, Sport Red/Thunder Blue, 2019-09-26, The Gyakusou x Nike Air Zoom Pegasus 36 Trail 'Red' is drawn from the brands’ Fall 2019 collection inspired by the spirit of the 1970s running revolution. The trail runner features a water-repellent red mesh upper embellished with a rose graphic its delicate petals and sharp thorns symbolizing designer Jun Takahashi’s balance/chaos ethos. The lightweight build rests on a foam midsole with Zoom Air cushioning.
Nike Free Run Trail Crater Cream Orange, Nike, DC4456-100, 110, 65, 60, 56, 6374ff48c30ceb3748b481c0, Nike Free Run Trail Crater, White/Cream/Cave Stone/Orange, 2021-08-17, The Free Run Trail Crater 'Cream Orange' brings a minimalist look to its flexible construction. The shoe's upper is built with a mix of mesh and transparent ripstop highlighted by the orange hits on the eyelets and Swoosh branding joined by a similar hit on the tongue tag. A heel pull-loop is included for easy on and off while underfoot a Crater foam Nike Free midsole provides cushioning working with flex grooves for flexibility. The rubber pods on the outsole include Nike Grind offering traction.
Nike Pegasus Trail 2 Gore-Tex Black, Nike, CU2016-001, 160, 106, 105, 105, 6374ff48c30ceb3748b481c1, Nike Pegasus Trail 2 Gore-Tex, Black/Black-Black, 2020-11-05, The Pegasus Trail 2 Gore-Tex 'Black Metallic Dark Grey' brings a neutral look to its performance running construction. The shoe's mesh upper appears in black Metallic Dark Grey and Iron Grey with Gore-Tex Invisible Fit technology supporting the build. The tongue and heel branding offer reflective detailing while underfoot a full-length React foam midsole provides cushioning. The rubber outsole incorporates a bike-tire tread for traction.
Nike Pegasus Trail 2 Barely Volt Poison Green, Nike, CK4305-700, 130, 75, 75, 75, 6374ff48c30ceb3748b481c2, Nike Pegasus Trail 2, Barely Volt/Laser Blue-Poison Green-Black, 2020-06-04, The Pegasus Trail 2 'Barely Volt' sports a vibrant upper and neutral tooling. The shoe's upper is built with mesh supported by a midfoot cage and a faux gaiter piece around the collar. Underfoot a speckled React midsole provides cushioning giving way to a prominent rubber outsole for traction.
Nike Air Zoom Pegasus 36 Trail Gyakusou Yellow, Nike, CD0383-700, 160, 82, 65, 65, 6374ff48c30ceb3748b481c3, Nike Air Zoom Pegasus 36 Trail, Mineral Yellow/Deep Pewter, 2019-09-26, Dropping as part of the brands’ Fall 2019 collection the Gyakusou x Nike Air Zoom Pegasus 36 Trail 'Yellow' finds UNDERCOVER founder Jun Takahashi shifting his focus from street running to the trail. The versatile sneaker uses a convenient toggle lacing system on a water-repellent mesh upper finished in a dark yellow hue. A rose graphic on the quarter panel complements Gyakusou branding at the heel.
Nike Pegasus Trail 2 Pure Platinum Fossil Laser Orange (W), Nike, CK4309-001, 130, 55, 61, 61, 6374ff48c30ceb3748b481c7, Nike Pegasus Trail 2, Pure Platinum/Fossil-Limelight-Laser Orange, 2020-06-04, The Wmns Pegasus Trail 2 'Limelight Laser Orange' emerges with a pastel look. Built with Pure Platinum textile tan mesh overlays the fit with Laser Orange accenting the Swoosh branding. Underfoot a React midsole provides cushioning giving way to a rubber outsole with a shockwave-style traction pattern.
Nike Zoom Pegasus 36 Trail Gore-tex Black, Nike, BV7762-001, 160, 105, 87, 87, 6374ff48c30ceb3748b481cd, Nike Zoom Pegasus 36 Trail, Black/Thunder Grey, 2019-10-10, The Air Zoom Pegasus 36 Trail Gore-Tex 'Black' applies a stealthy monochromatic finish on a running shoe made to take on inclement weather. The sneaker’s one-piece mesh upper is fortified with waterproof Gore-Tex insulation while a foam midsole houses double Zoom Air cushioning for a springy feel with each step. The kicks are finished with reflective detailing and a high-traction rubber outsole.
Nike Pegasus Trail 3 Gore-Tex Oil Green Iron Grey Total Orange, Nike, DO6728-300, 130, 156, 100, 100, 6374ff48c30ceb3748b481cf, Nike Pegasus Trail 3 Gore-Tex, Oil Green/Iron Grey/Total Orange, 2021-12-09, Presenting a trail runner made for harsher weather is the Nike Pegasus Trail 3 GTX 'Oil Green.' Waterproof Gore-Tex lines the green textile upper with tonal no-sew overlays and a gaiter collar to prevent debris and moisture from entering. An orange pull tab at the heel allows easy on and off while on the bottom is a black Nike React midsole with a durable rubber outsole with outdoor lugs.
