shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
adidas Ultra 4D 5.0 Black Carbon, adidas, G58160, 260, 133, 90, 90, 6374fd8803a96e36ed3d3c8f, adidas Ultra 4D 5.0, Black/Carbon, 2020-12-12, The Ultra 4D 5.0 'Carbon' is a performance runner with a neutral look. The shoe's upper is built with Primeknit sporting a mix of black and grey fibers that create a patterned design. A tonal Three-Stripes lacing cage and external heel counter support the fit while underfoot the 3D-printed midsole with a lattice build created throught a mix of light oxygen and liquid resin provides cushioning.
adidas Ultra Boost 21 Triple Black, adidas, FY0306, 180, 49, 49, 49, 6374fd8803a96e36ed3d3c90, adidas Ultra Boost 21, Core Black/Core Black/Core Black, 2020-02-04, Featuring a blacked-out look the UltraBoost 21 'Triple Black' features updated tooling and a sustainable upper. The latter is built with Primeblue which includes Parley Ocean Plastic finished in Core Black. A Three-Stripes lacing cage and external heel counter support the upper while underfoot a full-length Boost midsole with 6% more Boost capsules provides cushioning. The tooling also incorporates a Linear Energy Push system to provide energy return.
adidas Ultra Boost 21 White Solar Yellow, adidas, FY0377, 180, 50, 58, 58, 6374fd8803a96e36ed3d3c9e, adidas Ultra Boost 21, Footwear White/Core Black-Solar Yellow, 2020-02-04, The UltraBoost 21 'White Solar Yellow' features a classic two-tone look with vibrant highlights. Built with Primeblue the shoe's upper incorporates Parley Ocean Plastic finished in a black and white base that's accented by Solar Yellow throughout. Black Three-Stripes contrast the lacing cage while an external heel counter is included for stability. Underfoot the fit is supported by a Boost midsole made with 6% more Boost capsules working with a Linear Energy Push system for energy return.
adidas Ultra Boost DNA LEGO Multi, adidas, FZ3983, 200, 88, 99, 99, 6374fd8803a96e36ed3d3ca4, adidas Ultra Boost DNA, Cloud White/Red/Shock Blue, 2021-06-16, Part of the Color Pack the LEGO x UltraBoost DNA 'Color Pack - Multi' was released in collaboration with the Danish toy brand. Built with textile the shoe's upper appears in white highlighted by a reflective forefoot overlay and defined by the vibrant textured accents. Designed to look like LEGO bricks those accents take the shape of Three-Stripes on the side wall and an external heel counter while the tongue tag and sockliner add co-branding. Underfoot full-length Boost offers cushining giving way to a Continental rubber outsole for traction.
adidas Ultra Boost 1.0 Cream Chalk (2018), adidas, BB7802, 200, 138, 159, 159, 6374fd8803a96e36ed3d3ca5, adidas Ultra Boost 1.0, Talc/Chalk White/Core Black, 2018-10-03, The UltraBoost 1.0 Retro ‘Cream’ dropped in November 2018 as part of adidas’ Legacy collection featuring a trio of OG Ultra Boost colorways from 2015. This pair features a breathable Primeknit upper in the original weave finished in a refined off-white shade. A molded TPU cage and external heel counter deliver structural support while a full-length Boost midsole provides reactive cushioning.
adidas Ultra Boost DNA Beyonce Ivy Park Black, adidas, GX0200, 200, 75, 78, 78, 6374fd8803a96e36ed3d3ca8, adidas Ultra Boost DNA, Core Black/Core Black/Core Black, 2020-11-18, The Ivy Park x UltraBoost 'Black Hi-Res Yellow' released as part of a collaboration with Beyoncé's activewear brand. Built with Primeknit the shoe's upper appears entirely in black with a tonal leather midfoot cage worked into the lacing system. Ivy Park branding marks the external heel counter which provides stability while underfoot the full-length Boost midsole provides cushioning. Hi-Res Yellow on the Continental rubber outsole highlights the look.
adidas Ultra Boost 5.0 DNA Valentine's Day, adidas, GX4105, 190, 108, 90, 90, 6374fd8803a96e36ed3d3ca9, adidas Ultra Boost 5.0 DNA, Core Black/Core Black/Vivid Red, 2022-01-19, The adidas UltraBoost 5.0 DNA ‘Valentine’s Day’ celebrates the romantic holiday with a series of red hearts on the black Primeknit upper composed of 50% Parley Ocean Plastic and 50% recycled polyester. The lightweight build is fortified with a molded midfoot cage and an external heel counter. Atop the tongue tag adidas branding is rendered in pink and blue for unexpected pastel pops of color. Responsive cushioning arrives via a full-length Boost midsole painted black and supported by a Stretchweb Continental Rubber outsole.
adidas Ultra Boost 21 Triple White, adidas, FY0379, 180, 75, 81, 81, 6374fd8803a96e36ed3d3cad, adidas Ultra Boost 21, White/Footwear White/Grey Three, 2021-02-04, The UltraBoost 21 'Cloud White' brings a clean colorway to its modern performance construction. Built with knit the shoe's upper incorporates Primeblue which includes Parley Ocean Plastic. A Three-Stripes lacing cage is worked tonally into the side wall with an external heel counter included for stability. Underfoot the all-white look continues onto the full-length Boost midsole made with 6% more Boost capsules than its predecessor. The tooling also includes a new Torsion system known as Linear Energy Push for responsiveness.
adidas Ultra Boost OG Beyonce Ivy Park Hi Res Yellow, adidas, FZ5456, 200, 61, 64, 64, 6374fd8803a96e36ed3d3cb0, adidas Ultra Boost OG, Hi Res Yellow/Hi Res Yellow/Gum 4, 2020-10-30, A collaboration with the Grammy Award-winner the Beyoncé x UltraBoost 'Hi-Res Yellow' emerges with a vibrant look. The shoe's knit upper appears entirely in Hi-Res Yellow with a tonal Three-Stripes cage and drawcord lacing system supporting the fit. The suede heel counter includes Ivy Park branding while underfoot a tonal full-length Boost midsole provides cushioning giving way to a gum rubber Stretchweb outsole for traction.
adidas Ultra Boost Leather Black, adidas, EF0901, 180, 58, 61, 61, 6374fd8803a96e36ed3d3cb1, adidas Ultra Boost, Core Black/Core Black/Core Black, 2019-11-27, Presented in November 2019 the adidas UltraBoost Leather resurfaces the revolutionary running shoe a revamp that is influenced by with streetwear. This variant is clad in a streamlined triple-black palette throughout the upper the stitched Three-Stripes cage and the heel cup. Signature branding emblazons across the tongue and along the counter. A tonal Boost midsole and Continental Rubber outsole speak to the elevated engineering providing shock absorption and grip.
