shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Nike ZoomX Vaporfly Next% Valerian Blue, Nike, AO4568-400, 250, 126, 104, 104, 6374fd4703a96e36ed3d19af, Nike ZoomX Vaporfly Next%, Valerian Blue/Black-Vapour Green, 2020-04-09, The ZoomX VaporFly NEXT% 'Valerian Blue' is a performance runner with a vibrant look. Built with the engineered woven mesh known as VaporWeave the upper appears in Valerian Blue accented by purple on the eyestay and Vapour Green on the Swoosh branding. Underfoot more Vapour Green emerges on the ZoomX midsole which incorporates a full-length carbon fiber plate. Flex grooves on the outsole provide traction.
Nike ZoomX Vaporfly Next Blue Ribbon Sports Blue, Nike, DD8337-400, 250, 149, 130, 45, 6374fd4703a96e36ed3d19b8, Nike ZoomX Vaporfly Next, Game Royal/Gym Red/Total Orange/White, 2021-02-20, Paying tribute to Nike's predecessor the ZoomX Vaporfly NEXT% 'Blue Ribbon Sports' emerges with a graphic print throughout its construction. The design marks the VaporWeave upper which is secured by off-center lacing and sports a wider toe box for support. Underfoot a stacked ZoomX foam midsole provides cushioning working with a carbon fiber plate for stability. The rubber outsole sports vertical flex grooves for flexible traction.
Nike ZoomX Vaporfly Next% Gyakusou Green, Nike, CT4894-300, 290, 190, 159, 159, 6374fd4703a96e36ed3d19bc, Nike ZoomX Vaporfly Next%, Midnight Spruce/Sail-Deep Burgundy, 2021-07-09, The Gyakusou x ZoomX Vaporfly NEXT% 'Midnight Spruce Burgundy' was designed in collaboration with Jun Takahashi's running club. The shoe's upper is built with VaporWeave bolstered by no-sew overlays and finished in a subdued series of hues. The lateral forefoot includes 'Gyakusou International Running Association' with further 'Gyakusou' branding on the quarter panel. Underfoot a ZoomX foam midsole provides cushioning working with a carbon-fiber spring plate for energy return giving way to flex grooves on the rubber outsole.
Nike ZoomX Vaporfly Next% 2 BRS Tiger, Nike, DM7601-100, 260, 125, 127, 127, 6374fd4703a96e36ed3d19bd, Nike ZoomX Vaporfly Next% 2, White/Black/University Gold/Orange, 2021-07-29, Drawing from Nike history the ZoomX Vaporfly NEXT% 2 'Blue Ribbon Sports' emerges with a unique look. Built with textile the shoe's upper sports a white base with Blue Ribbon Sports—Nike's original name—getting a callout via a BRS graphic on the heel. That graphic also gives the nod to the brand's first ever retail door while the tongue and forefoot overlays highlight the look via tiger stripes. Underfoot ZoomX foam provides cushioning with a full-length carbon fiber plate providing energy return.
Nike ZoomX Vaporfly Next% Volt, Nike, AO4568-300, 250, 240, 150, 150, 6374fd4703a96e36ed3d19c1, Nike ZoomX Vaporfly Next%, Electric Green/Black-Guava Ice, 2019-04-28, Designed for long-distance running the ZoomX Vaporfly NEXT% 'Electric Green' features a lightweight construction. The shoe's VaporWeave mesh construction appears in Electric Green supported by a tonal eyestay. Black branding contrasts the design while underfoot a ZoomX midsole provides cushioning with a tapered heel promoting a more natural stride. The outsole includes forefoot traction that draws from insights provided by Mo Farah Geoffrey Kirui and Eliud Kipchoge.
Nike Zoom Vaporfly 4% Hyper Royal, Nike, 880847-411, 250, 250, 125, 125, 6374fd4703a96e36ed3d19c4, Nike Zoom Vaporfly 4%, Hyper Royal/Deep Royal Blue-Royal Tint-White, 2018-01-16, Nike’s Breaking2 program was initiated to achieve a sub-two-hour marathon time and the Zoom Vaporfly 4% was developed as a part of that. This 'Hyper Royal' colorway features both the Hyper Royal and a deep royal blue on the Flymesh upper and a large white Swoosh on the forefoot. There is a smaller Swoosh on the medial side panel and the back heel features 8:88:88 in block lettering so consumers can fill in their personal best.
Nike ZoomX Vaporfly Next% Gyakusou Red, Nike, CT4894-600, 290, 204, 145, 145, 6374fd4703a96e36ed3d19c8, Nike ZoomX Vaporfly Next%, University Red/Sail-Blackened Blue, 2021-07-09, The Gyakusou x ZoomX Vaporfly NEXT% 'University Red Blue' was made with the help of Jun Takahashi's Tokyo-based running crew. The shoe's upper is built with semitranslucent FlyWeave with no-sew synthetic overlays supporting the fit finished in University Red and Blackened Blue. A knit collar further bolsters the design with 'Undercover Lab' branding marking the medial side and 'Gyakusou International Running Association' on the lateral while underfoot a ZoomX foam midsole provides cushioning. A carbon-fiber spring plate in the tooling adds energy return to the build.
Nike Vaporfly 4% Flyknit Deep Royal Blue, Nike, AJ3857-400, 250, 64, 75, 55, 6374fd4703a96e36ed3d19cc, Nike Vaporfly 4% Flyknit, Deep Royal Blue/Ghost Aqua-Red Orbit, 2019-01-01, The Nike Zoom VaporFly 4% was engineered for performance and is backed by athletes like Galen Rupp and Eliud Kipchoge but a sleek new design refreshes it as a lifestyle shoe. The Nike Zoom VaporFly 4% Flyknit ‘Deep Royal’ utilizes a Flyknit upper in Deep Royal Blue with a hint of Nike Racing branding on the heel and aglets and a white Swoosh that stands out on the blue red and white ZoomX midsole. The full-length fiber plate atop a rugged rubber outsole provides endyring support and traction.
Nike ZoomX Vaporfly Next% Ekiden, Nike, CD4553-300, 240, 338, 136, 136, 6374fd4703a96e36ed3d19ce, Nike ZoomX Vaporfly Next%, Aurora Green/Hyper Crimson-Black, 2020-01-02, Part of a five-shoe collection the ZoomX Vaporfly NEXT% 'Ekiden Zoom Pack' released for Japan's Ekiden relay race. The shoe's VaporWeave upper appears in Aurora on the right shoe with Hyper Crimson on the left. The inverse colors emerge on the ZoomX foam midsole underfoot which incorporates a full-length carbon fiber plate for stability. A tapered heel is included for a more natural stride.
Nike ZoomX Vaporfly Next% 2 Black Metallic Gold Coin (W), Nike, CU4123-001, 250, 119, 109, 109, 6374fd4703a96e36ed3d19cf, Nike ZoomX Vaporfly Next% 2, Black/Metallic Gold Coin/White, 2021-11-10, Presenting an elite running shoe built for maximum speed is the Nike women's ZoomX Vaporfly NEXT% 2 'Black Metallic Gold Coin.' Asymmetrical lacing secures the breathable black mesh upper with patterned Swooshes outlined in metallic gold. Internal foam pods line the interior heel for comfortability and a reinforced forefoot gives improved containment. On the bottom is a full-length carbon fiber plate and ZoomX foam midsole with longitudinal grooves carved into the rubber outsole.
