shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
On Running Cloud 5 All Black, On, 59.98986, 140, 135, undefined, undefined, 637501711cb69837c65300a6, On Running Cloud 5, All Black, , 
On Running Cloud 5 All White (W), On, 59.98902, 140, 158, 160, undefined, 637501711cb69837c65300a7, On Running Cloud 5, All White, , 
On Running Cloud 5 Waterproof All Black, On, 59.98842, 170, 185, undefined, undefined, 637501711cb69837c65300a8, On Running Cloud 5 Waterproof, All Black, , 
On Running Cloud 5 All White, On, 59.98918, 140, 158, 130, undefined, 637501711cb69837c65300a9, On Running Cloud 5, All White, , 
On Running Cloud 5 Waterproof Glacier Grey White, On, 59.98841, 170, 121, undefined, undefined, 637501711cb69837c65300aa, On Running Cloud 5 Waterproof, Glacier/White, , 
On Running Cloud 5 Black White, On, 59.98919, 140, 148, undefined, undefined, 637501711cb69837c65300ab, On Running Cloud 5, Black/White, , 
On Running Cloud 5 All Black (W), On, 59.98905, 140, 134, 190, undefined, 637501711cb69837c65300ac, On Running Cloud 5, All Black, , 
On Running Cloudvista Glacier Grey Black, On, 64.99059, 140, 140, 129, undefined, 637501711cb69837c65300ad, On Running Cloudvista, Glacier/Black, , 
On Running Cloudnova White Pearl Brown, On, 26.99173, 160, 481, 290, undefined, 637501711cb69837c65300ae, On Running Cloudnova, White/Pearl, , 
On Running Cloud 5 White Chambray (W), On, 59.98886, 140, 216, 750, undefined, 637501711cb69837c65300af, On Running Cloud 5, White/Chambray, , 
On Running Cloudnova All White (W), On, 26.98478, 160, 282, undefined, undefined, 637501711cb69837c65300b0, On Running Cloudnova, All White, , 
On Running Cloudmonster Frost Surf, On, 61.99023, 170, 169, 238, undefined, 637501711cb69837c65300b1, On Running Cloudmonster, Frost/Surf, , 
On Running Cloud 5 Pearl White (W), On, 59.98773, 140, 199, undefined, undefined, 637501711cb69837c65300b2, On Running Cloud 5, Pearl/White, , 
On Running Cloudmonster All Black, On, 61.99025, 170, 168, 339, undefined, 637501711cb69837c65300b3, On Running Cloudmonster, All Black, , 
On Running Cloudflow 3.0 Rock Grey Rose (W), On, 35.99234, 140, 150, undefined, undefined, 637501711cb69837c65300b4, On Running Cloudflow 3.0, Rock/Rose, , 
On Running Cloud 5 Glacier Grey White, On, 59.98909, 140, 146, undefined, undefined, 637501711cb69837c65300b5, On Running Cloud 5, Glacier/White, , 
On Running Cloudmonster Acai Purple Lavender (W), On, 61.99026, 170, 165, undefined, undefined, 637501711cb69837c65300b6, On Running Cloudmonster, Acai/Lavender, , 
On Running Cloud 5 Niagara Blue Black, On, 59.98915, 140, 134, 267, undefined, 637501711cb69837c65300b7, On Running Cloud 5, Niagara/Black, , 
On Running Cloud 5 Magnet Surf (W), On, 59.98882, 140, 143, undefined, undefined, 637501711cb69837c65300b8, On Running Cloud 5, Magnet/Surf, , 
On Running Cloud 5 Chai Magnet, On, 59.98913, 140, 146, undefined, undefined, 637501711cb69837c65300b9, On Running Cloud 5, Chai/Magnet, , 
On Running Cloudwander Waterproof Midnight Olive, On, 73.98604, 180, 325, 166, undefined, 637501711cb69837c65300ba, On Running Cloudwander Waterproof, Midnight Navy/Olive, , 
On Running Cloudstratus Fossil Grey Midnight Navy, On, 39.99007, 170, 150, undefined, undefined, 637501711cb69837c65300bb, On Running Cloudstratus, Fossil/Midnight, , 
On Running Cloudflow 3.0 Marina Blue White (W), On, 35.99233, 140, 146, undefined, undefined, 637501711cb69837c65300bc, On Running Cloudflow 3.0, Marina/White, , 
On Running Cloud 5 Ice White (W), On, 59.98774, 140, 201, undefined, undefined, 637501711cb69837c65300bd, On Running Cloud 5, Ice/White, , 
On Running Cloudnova White Pearl Brown (W), On, 26.99177, 160, 262, 238, undefined, 637501711cb69837c65300be, On Running Cloudnova, White/Pearl, , 
On Running Cloudnova White Glacier Grey Lavender (W), On, 26.98982, 160, 207, 239, undefined, 637501711cb69837c65300bf, On Running Cloudnova, White/Glacier, , 
On Running Cloud X White Black (W), On, 40.99702, 140, 163, undefined, undefined, 637501711cb69837c65300c0, On Running Cloud X, White/Black, , 
On Running Cloud X Glacier Grey Olive, On, 40.99595, 140, 267, undefined, undefined, 637501711cb69837c65300c1, On Running Cloud X, Glacier/Olive, , 
On Running Cloud 5 Waterproof All Black (W), On, 59.98838, 170, 239, undefined, undefined, 637501711cb69837c65300c2, On Running Cloud 5 Waterproof, All Black, , 
On Running Cloudswift All White (W), On, 41.98923, 150, 185, 130, undefined, 637501711cb69837c65300c3, On Running Cloudswift, All White, , 
On Running Cloud 5 Black White (W), On, 59.98904, 140, 126, undefined, undefined, 637501711cb69837c65300c4, On Running Cloud 5, Black/White, , 
On Running Cloudstratus Black, On, 39.99214, 170, 166, 300, undefined, 637501711cb69837c65300c5, On Running Cloudstratus, Black, , 
On Running Cloud X Olive Green Fir, On, 40.99242, 140, 122, undefined, undefined, 637501711cb69837c65300c6, On Running Cloud X, Olive/Fir, , 
On Running Cloud X White Black, On, 40.99707, 140, 121, undefined, undefined, 637501711cb69837c65300c7, On Running Cloud X, White/Black, , 
On Running Cloud 5 Rose Shell (W), On, 59.98556, 140, 181, 200, undefined, 637501711cb69837c65300c8, On Running Cloud 5, Rose/Shell, , 
On Running Cloud X Aloe Surf (W), On, 40.99036, 140, 218, 210, undefined, 637501711cb69837c65300c9, On Running Cloud X, Aloe/Surf, , 
On Running Cloudnova All White, On, 26.99118, 160, 253, undefined, undefined, 637501711cb69837c65300ca, On Running Cloudnova, All White, , 
On Running Cloud 5 Midnight Navy White, On, 59.98916, 140, 120, undefined, undefined, 637501711cb69837c65300cb, On Running Cloud 5, Midnight/White, , 
On Running Cloud X Black Asphalt Grey (W), On, 40.99701, 140, 146, 160, undefined, 637501711cb69837c65300cc, On Running Cloud X, Black/Asphalt, , 
